time	date	datetime	milliseconds	mean	median	upper	lower
2024.194	2024-03-10	2024-03-10T19:26:24	1710098784419	16.34409464272423	16.218059071951334	25.994309068323776	10.315102814280785
2023.6747692307692	2023-09-03	2023-09-03T06:58:42	1693724322881	12.904820029887777	12.828615925478019	17.70093292026127	9.53080093272876
2023.1555384615385	2023-02-25	2023-02-25T18:31:01	1677349861343	20.87557117735574	20.82872474714607	27.93408554434472	14.977103880184314
2022.6363076923078	2022-08-20	2022-08-20T06:03:19	1660975399804	19.298422186884473	19.200930847279746	26.178389674727885	13.878336528039574
2022.117076923077	2022-02-11	2022-02-11T17:35:38	1644600938266	10.079017022341185	10.07117994998061	13.12725074028708	7.8416350477732015
2021.5978461538464	2021-08-06	2021-08-06T05:07:56	1628226476727	10.389755159959957	10.413773740818556	15.36438217563861	7.257010312522796
2021.0786153846157	2021-01-28	2021-01-28T16:40:15	1611852015189	12.957094544012255	12.811055225302566	20.101555984797205	8.33717585118562
2020.559384615385	2020-07-22	2020-07-22T04:12:33	1595391153650	11.674721888976231	11.58546270192358	16.44684824249666	8.306162029951395
2020.0401538461542	2020-01-14	2020-01-14T15:44:52	1579016692114	31.631723227852767	31.412816935861628	42.969511585676045	23.5421694197876
2019.5209230769235	2019-07-09	2019-07-09T03:17:10	1562642230575	15.782021568004229	15.698437280761482	21.121115454926166	11.201321338844407
2019.0016923076928	2018-12-31	2018-12-31T14:49:29	1546267769037	15.674424091965085	15.643985181063872	20.661311015098484	12.391828983216223
2018.482461538462	2018-06-25	2018-06-25T02:21:47	1529893307498	21.83121768192283	21.657737167648868	30.917332520670968	14.975179359197233
2017.9632307692314	2017-12-17	2017-12-17T13:54:05	1513518845961	17.086068973751928	17.062414353647156	23.481619195267136	12.389004207018498
2017.4440000000006	2017-06-11	2017-06-11T01:26:24	1497144384423	15.574691156745548	15.53187266188284	20.40129548918823	11.942522434270058
2016.92476923077	2016-12-02	2016-12-02T12:58:42	1480683522884	23.221306854235557	23.177891854702107	31.32280535275382	17.367222989160286
2016.4055384615392	2016-05-27	2016-05-27T00:31:01	1464309061346	14.051787750275373	14.01152115835886	19.43780671461998	10.146034178006618
2015.8863076923085	2015-11-19	2015-11-19T12:03:19	1447934599807	19.779930024359942	19.668010220406753	27.260298003358916	14.846150081227153
2015.3670769230778	2015-05-13	2015-05-13T23:35:38	1431560138269	32.410455869369315	32.200863134701585	49.113444333055014	21.818577824515305
2014.847846153847	2014-11-05	2014-11-05T11:07:56	1415185676731	14.350561048335244	14.29301370938021	18.699835726844803	10.919392568962985
2014.3286153846163	2014-04-29	2014-04-29T22:40:15	1398811215193	15.034314251042312	14.9618479490123	20.621752479500802	11.19321239777166
2013.8093846153856	2013-10-22	2013-10-22T10:12:33	1382436753654	16.207186468054104	16.14198173323874	21.792897823281933	12.104833386649839
2013.290153846155	2013-04-15	2013-04-15T21:44:52	1366062292116	23.123178401524452	22.946560247979384	34.060987733268014	15.705820996618007
2012.7709230769242	2012-10-07	2012-10-07T09:17:10	1349601430577	9.198516018195992	9.169466155525077	12.762237607169437	6.928437690551688
2012.2516923076935	2012-03-31	2012-03-31T20:49:29	1333226969039	36.45050796604608	36.38750789964162	53.7431050496937	24.920059577281748
2011.7324615384628	2011-09-24	2011-09-24T08:21:47	1316852507500	8.964390372420631	8.884227497547988	12.938124082216461	6.325427281791161
2011.213230769232	2011-03-18	2011-03-18T19:54:05	1300478045962	4.962350545202728	4.9311802967999245	7.882128194977271	3.14271855135305
2010.6940000000013	2010-09-10	2010-09-10T07:26:24	1284103584424	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2010.6940000000013	2010-09-10	2010-09-10T07:26:24	1284103584425	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2010.1747692307706	2010-03-04	2010-03-04T18:58:42	1267729122886	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2009.65553846154	2009-08-27	2009-08-27T06:31:01	1251354661348	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2009.1363076923092	2009-02-18	2009-02-18T18:03:19	1234980199809	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2008.6170769230785	2008-08-12	2008-08-12T05:35:38	1218519338272	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2008.0978461538477	2008-02-04	2008-02-04T17:07:56	1202144876733	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
2007.578615384617	2007-07-30	2007-07-30T04:40:15	1185770415195	3.0831472221430065	3.0481588469905936	5.588376644095514	1.8119038209355793
