"year_month","region","climate","epoch","antigen_drift","inter_air_traffic","persistence"
"2017-01","Africa","most-tropical","pre",0.17729826685476,0.739606120947066,0.21541123208253
"2017-02","Africa","most-tropical","pre",0.183903093996411,0.670241946252527,0.207837617513236
"2017-03","Africa","most-tropical","pre",0.188736298159177,0.744566880714096,0.21668288751855
"2017-04","Africa","most-tropical","pre",0.193573296537148,0.766321175382802,0.240195681582443
"2017-05","Africa","most-tropical","pre",0.199658227470114,0.775433426347369,0.269145005014274
"2017-06","Africa","most-tropical","pre",0.199106101366362,0.758738676350954,0.302731283799225
"2017-07","Africa","most-tropical","pre",0.192881968954078,0.847658626033277,0.329737346574996
"2017-08","Africa","most-tropical","pre",0.206678928794858,0.851177813031487,0.366711432468994
"2017-09","Africa","most-tropical","pre",0.219514280659143,0.797508620447587,0.376009722355296
"2017-10","Africa","most-tropical","pre",0.230674567416117,0.788086681835234,0.39331750043291
"2017-11","Africa","most-tropical","pre",0.218042459949589,0.762496543033351,0.386224879215604
"2017-12","Africa","most-tropical","pre",0.204564616701058,0.807396605637527,0.412976802476997
"2018-01","Africa","most-tropical","pre",0.196706228130152,0.786239464711062,0.439312502249454
"2018-02","Africa","most-tropical","pre",0.184243462261279,0.70228734529001,0.460458419562001
"2018-03","Africa","most-tropical","pre",0.191292435584643,0.799006555156219,0.463729335969139
"2018-04","Africa","most-tropical","pre",0.21103882915653,0.793501670353761,0.466084212179641
"2018-05","Africa","most-tropical","pre",0.2377388622941,0.795059401242266,0.463993805526318
"2018-06","Africa","most-tropical","pre",0.273754816250703,0.800863266944086,0.479155309165479
"2018-07","Africa","most-tropical","pre",0.273578883203085,0.868297600738887,0.466181484737891
"2018-08","Africa","most-tropical","pre",0.25184293582177,0.884946998565094,0.451783915473893
"2018-09","Africa","most-tropical","pre",0.22362996831136,0.820751456168289,0.429328697178685
"2018-10","Africa","most-tropical","pre",0.212370048791187,0.828983026571523,0.413069434687438
"2018-11","Africa","most-tropical","pre",0.212704862190185,0.795519185382097,0.391306826002865
"2018-12","Africa","most-tropical","pre",0.194963403546258,0.836976927361176,0.338070210106487
"2019-01","Africa","most-tropical","pre",0.182851611147937,0.823944087339593,0.318347166961148
"2019-02","Africa","most-tropical","pre",0.18295504401817,0.744010028789032,0.300443342909842
"2019-03","Africa","most-tropical","pre",0.176875333903583,0.827668924713175,0.306564312098378
"2019-04","Africa","most-tropical","pre",0.182681580367389,0.81586190637898,0.314248808589518
"2019-05","Africa","most-tropical","pre",0.198002035022984,0.790794782136861,0.354777503902763
"2019-06","Africa","most-tropical","pre",0.209659504871417,0.842342725441194,0.402926485870742
"2019-07","Africa","most-tropical","pre",0.225256533543502,0.905779603805865,0.45777389457519
"2019-08","Africa","most-tropical","pre",0.219089904452947,0.924614491402178,0.529268888179316
"2019-09","Africa","most-tropical","pre",0.251470505475924,0.856395534760671,0.611758999005922
"2019-10","Africa","most-tropical","pre",0.258440942303829,0.829410185430782,0.685422671923532
