"date","region","h3n2_seq"
2017-09-28,"Americas",64
2017-09-28,"Asia",44
2017-09-28,"Europe",10
2017-09-28,"Oceania",24
2017-10-05,"Africa",8
2017-10-05,"Americas",76
2017-10-05,"Asia",38
2017-10-05,"Europe",21
2017-10-05,"Oceania",27
2017-10-12,"Africa",6
2017-10-12,"Americas",66
2017-10-12,"Asia",53
2017-10-12,"Europe",13
2017-10-12,"Oceania",11
2017-10-19,"Africa",5
2017-10-19,"Americas",76
2017-10-19,"Asia",58
2017-10-19,"Europe",24
2017-10-19,"Oceania",7
2017-10-26,"Africa",3
2017-10-26,"Americas",62
2017-10-26,"Asia",51
2017-10-26,"Europe",17
2017-10-26,"Oceania",5
2017-11-02,"Africa",6
2017-11-02,"Americas",93
2017-11-02,"Asia",34
2017-11-02,"Europe",21
2017-11-02,"Oceania",4
2017-11-09,"Africa",2
2017-11-09,"Americas",96
2017-11-09,"Asia",35
2017-11-09,"Europe",30
2017-11-09,"Oceania",2
2017-11-16,"Africa",2
2017-11-16,"Americas",154
2017-11-16,"Asia",28
2017-11-16,"Europe",41
2017-11-16,"Oceania",9
2017-11-23,"Africa",3
2017-11-23,"Americas",126
2017-11-23,"Asia",24
2017-11-23,"Europe",28
2017-11-23,"Oceania",3
2017-11-30,"Americas",144
2017-11-30,"Asia",55
2017-11-30,"Europe",35
2017-11-30,"Oceania",4
2017-12-07,"Africa",1
2017-12-07,"Americas",178
2017-12-07,"Asia",36
2017-12-07,"Europe",45
2017-12-07,"Oceania",6
2017-12-14,"Africa",2
2017-12-14,"Americas",267
2017-12-14,"Asia",38
2017-12-14,"Europe",85
2017-12-14,"Oceania",9
2017-12-21,"Africa",2
2017-12-21,"Americas",343
2017-12-21,"Asia",38
2017-12-21,"Europe",120
2017-12-21,"Oceania",2
2017-12-28,"Americas",312
2017-12-28,"Asia",28
2017-12-28,"Europe",111
2017-12-28,"Oceania",1
2018-01-04,"Africa",3
2018-01-04,"Americas",426
2018-01-04,"Asia",49
2018-01-04,"Europe",116
2018-01-04,"Oceania",14
2018-01-11,"Africa",6
2018-01-11,"Americas",490
2018-01-11,"Asia",59
2018-01-11,"Europe",147
2018-01-11,"Oceania",2
2018-01-18,"Africa",3
2018-01-18,"Americas",431
2018-01-18,"Asia",67
2018-01-18,"Europe",157
2018-01-18,"Oceania",7
2018-01-25,"Africa",1
2018-01-25,"Americas",451
2018-01-25,"Asia",41
2018-01-25,"Europe",140
2018-01-25,"Oceania",16
2018-02-01,"Africa",1
2018-02-01,"Americas",430
2018-02-01,"Asia",33
2018-02-01,"Europe",104
2018-02-01,"Oceania",6
2018-02-08,"Africa",1
2018-02-08,"Americas",408
2018-02-08,"Asia",39
2018-02-08,"Europe",94
2018-02-08,"Oceania",3
2018-02-15,"Africa",5
2018-02-15,"Americas",279
