"date","region","h1n1_seq"
2016-12-22,"Americas",21
2016-12-22,"Asia",10
2016-12-22,"Europe",1
2016-12-29,"Americas",20
2016-12-29,"Asia",10
2016-12-29,"Europe",5
2017-01-05,"Americas",29
2017-01-05,"Asia",36
2017-01-05,"Europe",15
2017-01-05,"Oceania",1
2017-01-12,"Americas",26
2017-01-12,"Asia",27
2017-01-12,"Europe",6
2017-01-12,"Oceania",2
2017-01-19,"Americas",39
2017-01-19,"Asia",21
2017-01-19,"Europe",11
2017-01-19,"Oceania",3
2017-01-26,"Africa",1
2017-01-26,"Americas",33
2017-01-26,"Asia",16
2017-01-26,"Europe",33
2017-01-26,"Oceania",1
2017-02-02,"Africa",1
2017-02-02,"Americas",36
2017-02-02,"Asia",12
2017-02-02,"Europe",18
2017-02-09,"Africa",1
2017-02-09,"Americas",38
2017-02-09,"Asia",21
2017-02-09,"Europe",7
2017-02-16,"Africa",1
2017-02-16,"Americas",27
2017-02-16,"Asia",13
2017-02-16,"Europe",8
2017-02-23,"Americas",25
2017-02-23,"Asia",10
2017-02-23,"Europe",7
2017-03-02,"Africa",4
2017-03-02,"Americas",25
2017-03-02,"Asia",24
2017-03-02,"Europe",1
2017-03-09,"Americas",22
2017-03-09,"Asia",19
2017-03-09,"Europe",1
2017-03-16,"Africa",5
2017-03-16,"Americas",13
2017-03-16,"Asia",30
2017-03-16,"Oceania",1
2017-03-23,"Africa",3
2017-03-23,"Americas",15
2017-03-23,"Asia",23
2017-03-23,"Europe",3
2017-03-23,"Oceania",1
2017-03-30,"Africa",13
2017-03-30,"Americas",14
2017-03-30,"Asia",27
2017-04-06,"Africa",9
2017-04-06,"Americas",15
2017-04-06,"Asia",16
2017-04-06,"Europe",5
2017-04-06,"Oceania",2
2017-04-13,"Africa",5
2017-04-13,"Americas",2
2017-04-13,"Asia",17
2017-04-13,"Europe",1
2017-04-20,"Africa",14
2017-04-20,"Americas",10
2017-04-20,"Asia",21
2017-04-20,"Europe",1
2017-04-27,"Africa",11
2017-04-27,"Americas",6
2017-04-27,"Asia",22
2017-04-27,"Europe",1
2017-04-27,"Oceania",2
2017-05-04,"Africa",10
2017-05-04,"Americas",6
2017-05-04,"Asia",22
2017-05-04,"Europe",6
2017-05-04,"Oceania",1
2017-05-11,"Africa",7
2017-05-11,"Americas",10
2017-05-11,"Asia",36
2017-05-11,"Oceania",3
