"date","region","by_seq"
2017-12-14,"Americas",82
2017-12-14,"Asia",55
2017-12-14,"Europe",97
2017-12-14,"Oceania",2
2017-12-21,"Africa",14
2017-12-21,"Americas",114
2017-12-21,"Asia",66
2017-12-21,"Europe",196
2017-12-21,"Oceania",2
2017-12-28,"Africa",1
2017-12-28,"Americas",97
2017-12-28,"Asia",27
2017-12-28,"Europe",191
2018-01-04,"Africa",11
2018-01-04,"Americas",132
2018-01-04,"Asia",68
2018-01-04,"Europe",237
2018-01-04,"Oceania",2
2018-01-11,"Africa",14
2018-01-11,"Americas",157
2018-01-11,"Asia",61
2018-01-11,"Europe",200
2018-01-18,"Africa",5
2018-01-18,"Americas",123
2018-01-18,"Asia",66
2018-01-18,"Europe",225
2018-01-18,"Oceania",3
2018-01-25,"Africa",4
2018-01-25,"Americas",130
2018-01-25,"Asia",51
2018-01-25,"Europe",216
2018-01-25,"Oceania",1
2018-02-01,"Africa",7
2018-02-01,"Americas",142
2018-02-01,"Asia",67
2018-02-01,"Europe",205
2018-02-01,"Oceania",3
2018-02-08,"Africa",12
2018-02-08,"Americas",122
2018-02-08,"Asia",77
2018-02-08,"Europe",156
2018-02-08,"Oceania",2
2018-02-15,"Africa",13
2018-02-15,"Americas",116
2018-02-15,"Asia",59
2018-02-15,"Europe",157
2018-02-15,"Oceania",1
2018-02-22,"Africa",9
2018-02-22,"Americas",122
2018-02-22,"Asia",52
2018-02-22,"Europe",130
2018-03-01,"Africa",10
2018-03-01,"Americas",120
2018-03-01,"Asia",43
2018-03-01,"Europe",103
2018-03-01,"Oceania",2
2018-03-08,"Africa",9
2018-03-08,"Americas",133
2018-03-08,"Asia",51
2018-03-08,"Europe",110
2018-03-08,"Oceania",2
2018-03-15,"Africa",5
2018-03-15,"Americas",131
2018-03-15,"Asia",49
2018-03-15,"Europe",105
2018-03-15,"Oceania",2
2018-03-22,"Africa",4
2018-03-22,"Americas",109
2018-03-22,"Asia",33
2018-03-22,"Europe",65
2018-03-22,"Oceania",3
2018-03-29,"Africa",6
2018-03-29,"Americas",87
2018-03-29,"Asia",23
2018-03-29,"Europe",63
2018-03-29,"Oceania",3
2018-04-05,"Africa",8
2018-04-05,"Americas",72
2018-04-05,"Asia",25
2018-04-05,"Europe",43
2018-04-05,"Oceania",9
2018-04-12,"Africa",3
2018-04-12,"Americas",59
2018-04-12,"Asia",34
2018-04-12,"Europe",23
2018-04-12,"Oceania",2
2018-04-19,"Africa",1
2018-04-19,"Americas",57
2018-04-19,"Asia",18
2018-04-19,"Europe",20
2018-04-19,"Oceania",3
2018-04-26,"Africa",3
2018-04-26,"Americas",27
2018-04-26,"Asia",11
2018-04-26,"Europe",6
2018-04-26,"Oceania",3
2018-05-03,"Africa",8
2018-05-03,"Americas",40
2018-05-03,"Asia",20
2018-05-03,"Europe",5
2018-05-03,"Oceania",2
2018-05-10,"Africa",6
2018-05-10,"Americas",24
2018-05-10,"Asia",14
2018-05-10,"Europe",3
2018-05-10,"Oceania",1
2018-05-17,"Africa",5
2018-05-17,"Americas",13
2018-05-17,"Asia",9
2018-05-17,"Europe",1
2018-05-24,"Africa",3
2018-05-24,"Americas",10
2018-05-24,"Asia",11
2018-05-24,"Europe",1
2018-05-24,"Oceania",3
2018-05-31,"Africa",5
2018-05-31,"Americas",10
2018-05-31,"Asia",6
2018-05-31,"Oceania",1
2018-06-07,"Africa",6
2018-06-07,"Americas",17
2018-06-07,"Asia",5
2018-06-07,"Oceania",1
2018-06-14,"Africa",4
2018-06-14,"Americas",10
2018-06-14,"Asia",5
2018-06-14,"Oceania",4
2018-06-21,"Americas",13
2018-06-21,"Asia",7
2018-06-21,"Oceania",2
2018-06-28,"Africa",6
2018-06-28,"Americas",11
2018-06-28,"Asia",4
2018-06-28,"Oceania",2
2018-07-05,"Africa",4
2018-07-05,"Americas",8
2018-07-05,"Asia",3
2018-07-05,"Europe",1
2018-07-05,"Oceania",3
2018-07-12,"Americas",11
2018-07-12,"Asia",3
2018-07-12,"Oceania",3
2018-07-19,"Africa",2
2018-07-19,"Americas",14
2018-07-19,"Asia",8
2018-07-19,"Oceania",1
2018-07-26,"Americas",19
2018-07-26,"Asia",5
2018-07-26,"Oceania",2
2018-08-02,"Africa",2
2018-08-02,"Americas",13
2018-08-02,"Asia",3
2018-08-02,"Oceania",4
2018-08-09,"Africa",1
2018-08-09,"Americas",11
2018-08-09,"Asia",15
2018-08-09,"Oceania",6
2018-08-16,"Americas",9
2018-08-16,"Asia",5
2018-08-16,"Oceania",3
2018-08-23,"Africa",4
2018-08-23,"Americas",5
2018-08-23,"Asia",8
2018-08-23,"Oceania",3
2018-08-30,"Africa",5
2018-08-30,"Americas",10
2018-08-30,"Asia",7
2018-08-30,"Oceania",7
2018-09-06,"Africa",2
2018-09-06,"Americas",6
2018-09-06,"Asia",10
2018-09-06,"Oceania",3
2018-09-13,"Africa",1
2018-09-13,"Americas",13
2018-09-13,"Asia",9
2018-09-13,"Europe",1
2018-09-13,"Oceania",2
2018-09-20,"Africa",2
2018-09-20,"Americas",15
2018-09-20,"Asia",9
2018-09-20,"Oceania",4
2018-09-27,"Africa",2
2018-09-27,"Americas",11
2018-09-27,"Asia",10
2018-09-27,"Europe",1
2018-09-27,"Oceania",2
2018-10-04,"Americas",7
2018-10-04,"Asia",9
2018-10-04,"Europe",1
2018-10-04,"Oceania",4
2018-10-11,"Africa",2
2018-10-11,"Americas",4
2018-10-11,"Asia",15
2018-10-11,"Europe",2
2018-10-11,"Oceania",7
2018-10-18,"Americas",15
2018-10-18,"Asia",4
2018-10-18,"Europe",1
2018-10-18,"Oceania",3
2018-10-25,"Americas",9
2018-10-25,"Asia",7
2018-10-25,"Europe",1
2018-10-25,"Oceania",1
2018-11-01,"Africa",2
2018-11-01,"Americas",11
2018-11-01,"Asia",7
2018-11-01,"Oceania",2
2018-11-08,"Africa",3
2018-11-08,"Americas",13
2018-11-08,"Asia",4
2018-11-08,"Europe",1
2018-11-08,"Oceania",3
2018-11-15,"Africa",1
