,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_z,-0.103,0.443,-0.905,0.529,0.007,0.006,5053.0,3898.0,1.0
b_l,-0.205,0.047,-0.278,-0.126,0.001,0.001,4261.0,6178.0,1.0
"b_z[Africa, 2017-01]",0.342,0.816,-0.921,1.749,0.006,0.01,15939.0,5345.0,1.0
"b_z[Africa, 2017-02]",0.379,0.866,-1.075,1.75,0.007,0.01,17219.0,5630.0,1.0
"b_z[Africa, 2017-03]",0.279,0.897,-1.164,1.771,0.007,0.011,18747.0,5311.0,1.0
"b_z[Africa, 2017-04]",0.181,0.929,-1.318,1.699,0.007,0.012,16561.0,5478.0,1.0
"b_z[Africa, 2017-05]",0.082,0.972,-1.539,1.641,0.007,0.012,16870.0,5730.0,1.0
"b_z[Africa, 2017-06]",0.082,0.956,-1.456,1.65,0.007,0.013,16511.0,4969.0,1.0
"b_z[Africa, 2017-07]",0.003,0.938,-1.561,1.497,0.007,0.013,18981.0,5295.0,1.0
"b_z[Africa, 2017-08]",-0.032,0.96,-1.616,1.533,0.007,0.013,16604.0,5502.0,1.0
"b_z[Africa, 2017-09]",-0.025,0.98,-1.626,1.58,0.008,0.012,16122.0,5973.0,1.0
"b_z[Africa, 2017-10]",-0.004,0.979,-1.633,1.586,0.008,0.013,16460.0,4896.0,1.0
"b_z[Africa, 2017-11]",-0.017,0.991,-1.619,1.638,0.007,0.013,18375.0,5393.0,1.0
"b_z[Africa, 2017-12]",-0.047,0.94,-1.575,1.517,0.007,0.012,17269.0,5486.0,1.0
"b_z[Africa, 2018-01]",-0.079,0.908,-1.562,1.408,0.006,0.011,20046.0,5649.0,1.0
"b_z[Africa, 2018-02]",-0.022,0.863,-1.388,1.445,0.006,0.012,19308.0,5243.0,1.0
"b_z[Africa, 2018-03]",-0.152,0.88,-1.521,1.362,0.006,0.011,19745.0,6137.0,1.0
"b_z[Africa, 2018-04]",-0.108,0.958,-1.699,1.426,0.008,0.012,16117.0,5749.0,1.0
"b_z[Africa, 2018-05]",-0.031,1.017,-1.661,1.638,0.007,0.014,19328.0,5708.0,1.0
"b_z[Africa, 2018-06]",0.191,0.951,-1.336,1.784,0.007,0.012,18438.0,5993.0,1.0
"b_z[Africa, 2018-07]",0.19,0.938,-1.355,1.74,0.007,0.012,17074.0,6069.0,1.0
"b_z[Africa, 2018-08]",0.134,0.977,-1.447,1.76,0.007,0.012,19814.0,5769.0,1.0
"b_z[Africa, 2018-09]",-0.012,0.98,-1.626,1.627,0.007,0.013,19704.0,5799.0,1.0
"b_z[Africa, 2018-10]",-0.062,1.008,-1.705,1.562,0.008,0.014,17988.0,5000.0,1.0
"b_z[Africa, 2018-11]",-0.039,0.989,-1.615,1.624,0.007,0.013,18813.0,5665.0,1.0
"b_z[Africa, 2018-12]",0.001,0.945,-1.53,1.6,0.007,0.013,18720.0,5773.0,1.0
"b_z[Africa, 2019-01]",0.031,0.9,-1.443,1.452,0.007,0.011,18478.0,5898.0,1.0
"b_z[Africa, 2019-02]",0.145,0.917,-1.45,1.58,0.007,0.011,18473.0,6111.0,1.0
"b_z[Africa, 2019-03]",0.065,0.884,-1.387,1.517,0.007,0.012,15617.0,5683.0,1.0
"b_z[Africa, 2019-04]",0.06,0.905,-1.452,1.557,0.007,0.012,18987.0,5827.0,1.0
"b_z[Africa, 2019-05]",0.013,0.909,-1.5,1.461,0.007,0.012,16441.0,5604.0,1.0
"b_z[Africa, 2019-06]",-0.038,0.958,-1.689,1.499,0.007,0.012,17231.0,5532.0,1.0
"b_z[Africa, 2019-07]",-0.015,1.013,-1.675,1.657,0.008,0.014,17355.0,5799.0,1.0
"b_z[Africa, 2019-08]",-0.038,0.989,-1.619,1.633,0.008,0.013,16987.0,5418.0,1.0
"b_z[Africa, 2019-09]",0.355,0.928,-1.099,1.982,0.007,0.011,18644.0,5804.0,1.0
"b_z[Africa, 2019-10]",0.55,0.904,-0.89,2.075,0.007,0.009,16709.0,5946.0,1.0
"b_z[Africa, 2019-11]",0.724,0.857,-0.701,2.121,0.006,0.007,17765.0,5634.0,1.0
"b_z[Africa, 2019-12]",0.728,0.886,-0.717,2.21,0.007,0.009,16302.0,5488.0,1.0
"b_z[Africa, 2020-01]",0.828,0.886,-0.672,2.257,0.007,0.008,17219.0,6021.0,1.0
"b_z[Africa, 2020-02]",1.117,0.83,-0.205,2.505,0.006,0.007,16303.0,5405.0,1.0
"b_z[Africa, 2020-03]",1.047,0.806,-0.265,2.369,0.006,0.007,15751.0,5382.0,1.0
"b_z[Africa, 2020-04]",0.558,0.8,-0.751,1.875,0.007,0.007,14988.0,6257.0,1.0
"b_z[Africa, 2020-05]",0.671,0.813,-0.64,1.993,0.006,0.007,16305.0,6492.0,1.0
"b_z[Africa, 2020-06]",0.804,0.805,-0.515,2.116,0.007,0.007,13434.0,6364.0,1.0
"b_z[Africa, 2020-07]",0.957,0.817,-0.327,2.339,0.007,0.006,13987.0,6602.0,1.0
"b_z[Africa, 2020-08]",1.166,0.803,-0.153,2.485,0.007,0.006,14369.0,6673.0,1.0
"b_z[Africa, 2020-09]",1.295,0.73,0.165,2.569,0.006,0.005,15218.0,6299.0,1.0
"b_z[Africa, 2020-10]",1.407,0.702,0.299,2.592,0.006,0.005,13655.0,6404.0,1.0
"b_z[Africa, 2020-11]",1.406,0.69,0.27,2.54,0.006,0.005,12455.0,6263.0,1.0
"b_z[Africa, 2020-12]",1.566,0.734,0.363,2.767,0.006,0.005,14731.0,6428.0,1.0
"b_z[Africa, 2021-01]",1.516,0.745,0.238,2.679,0.006,0.005,15241.0,6143.0,1.0
"b_z[Africa, 2021-02]",1.32,0.788,0.023,2.616,0.007,0.006,13341.0,5758.0,1.0
"b_z[Africa, 2021-03]",1.386,0.77,0.151,2.67,0.007,0.005,13840.0,6010.0,1.0
"b_z[Africa, 2021-04]",1.503,0.783,0.261,2.825,0.007,0.005,13906.0,6099.0,1.0
"b_z[Africa, 2021-05]",1.703,0.674,0.596,2.806,0.006,0.004,14218.0,6209.0,1.0
"b_z[Africa, 2021-06]",1.772,0.65,0.753,2.88,0.006,0.004,13532.0,6183.0,1.0
"b_z[Africa, 2021-07]",1.817,0.566,0.932,2.755,0.005,0.004,13317.0,5840.0,1.0
"b_z[Africa, 2021-08]",1.567,0.547,0.68,2.485,0.004,0.004,14946.0,5611.0,1.0
"b_z[Africa, 2021-09]",0.802,0.52,-0.07,1.643,0.004,0.004,14291.0,5997.0,1.0
"b_z[Africa, 2021-10]",0.269,0.518,-0.619,1.088,0.004,0.005,15805.0,6314.0,1.0
"b_z[Africa, 2021-11]",-0.21,0.609,-1.195,0.789,0.005,0.008,16788.0,5427.0,1.0
"b_z[Africa, 2021-12]",-0.244,0.777,-1.556,0.983,0.006,0.009,17040.0,6091.0,1.0
"b_z[Africa, 2022-01]",-0.144,0.95,-1.667,1.466,0.007,0.013,16361.0,5490.0,1.0
"b_z[Africa, 2022-02]",0.006,0.982,-1.605,1.628,0.007,0.013,17615.0,5665.0,1.0
"b_z[Africa, 2022-03]",-0.01,0.98,-1.672,1.543,0.007,0.013,22030.0,5804.0,1.0
"b_z[Africa, 2022-04]",-0.075,0.962,-1.638,1.506,0.007,0.013,18398.0,5378.0,1.0
"b_z[Africa, 2022-05]",-0.213,0.923,-1.706,1.323,0.007,0.013,16816.0,5690.0,1.0
"b_z[Africa, 2022-06]",-0.237,0.955,-1.795,1.32,0.007,0.012,17753.0,5933.0,1.0
"b_z[Africa, 2022-07]",-0.332,0.992,-1.993,1.266,0.008,0.012,16681.0,5237.0,1.0
"b_z[Africa, 2022-08]",-0.291,1.002,-2.002,1.272,0.007,0.012,19245.0,6171.0,1.0
"b_z[Africa, 2022-09]",-0.197,1.005,-1.838,1.443,0.008,0.013,16883.0,5233.0,1.0
"b_z[Africa, 2022-10]",-0.043,0.984,-1.598,1.627,0.007,0.013,18476.0,5761.0,1.0
"b_z[Africa, 2022-11]",0.047,0.988,-1.593,1.619,0.007,0.013,18344.0,5690.0,1.0
"b_z[Africa, 2022-12]",0.145,0.983,-1.526,1.693,0.007,0.013,18729.0,5572.0,1.0
"b_z[Africa, 2023-01]",0.263,0.986,-1.437,1.807,0.008,0.013,15636.0,5147.0,1.0
"b_z[Africa, 2023-02]",0.317,0.957,-1.229,1.935,0.008,0.011,16066.0,5290.0,1.0
"b_z[Africa, 2023-03]",0.18,0.989,-1.526,1.693,0.008,0.013,17375.0,5450.0,1.0
"b_z[Africa, 2023-04]",-0.016,1.036,-1.693,1.685,0.007,0.014,20192.0,5585.0,1.0
"b_z[Africa, 2023-05]",-0.128,0.931,-1.697,1.371,0.007,0.012,17123.0,5397.0,1.0
"b_z[Africa, 2023-06]",-0.208,0.783,-1.54,0.988,0.006,0.009,16148.0,6169.0,1.0
"b_z[Africa, 2023-07]",-0.458,0.741,-1.647,0.752,0.006,0.007,16589.0,6624.0,1.0
"b_z[Africa, 2023-08]",-0.438,0.7,-1.598,0.696,0.006,0.007,14197.0,6397.0,1.0
"b_z[Africa, 2023-09]",-0.19,0.687,-1.312,0.938,0.006,0.008,13920.0,5804.0,1.0
"b_z[Africa, 2023-10]",-0.038,0.639,-1.049,1.013,0.005,0.008,15486.0,6275.0,1.0
"b_z[Africa, 2023-11]",0.18,0.579,-0.761,1.131,0.005,0.006,15859.0,5848.0,1.0
"b_z[Africa, 2023-12]",0.074,0.582,-0.872,1.031,0.005,0.007,14261.0,6310.0,1.0
"b_z[Japan/Korea, 2017-01]",0.268,0.789,-1.025,1.55,0.006,0.01,17690.0,6127.0,1.0
"b_z[Japan/Korea, 2017-02]",0.165,0.913,-1.407,1.573,0.007,0.013,17938.0,4968.0,1.0
"b_z[Japan/Korea, 2017-03]",-0.003,0.997,-1.633,1.653,0.007,0.013,18401.0,5652.0,1.0
"b_z[Japan/Korea, 2017-04]",-0.01,0.994,-1.677,1.587,0.007,0.013,20621.0,5780.0,1.0
"b_z[Japan/Korea, 2017-05]",-0.025,0.993,-1.625,1.636,0.008,0.013,16870.0,5502.0,1.0
"b_z[Japan/Korea, 2017-06]",0.0,0.996,-1.648,1.634,0.007,0.014,18825.0,5313.0,1.0
"b_z[Japan/Korea, 2017-07]",0.022,0.979,-1.538,1.679,0.007,0.013,18830.0,5570.0,1.0
"b_z[Japan/Korea, 2017-08]",0.004,0.967,-1.556,1.582,0.007,0.013,18753.0,5451.0,1.0
"b_z[Japan/Korea, 2017-09]",0.039,0.975,-1.529,1.663,0.007,0.014,17427.0,5538.0,1.0
"b_z[Japan/Korea, 2017-10]",0.046,0.963,-1.524,1.618,0.007,0.012,16661.0,5790.0,1.0
"b_z[Japan/Korea, 2017-11]",0.149,0.933,-1.361,1.687,0.007,0.011,18241.0,5902.0,1.0
"b_z[Japan/Korea, 2017-12]",0.18,0.92,-1.363,1.656,0.007,0.011,17639.0,5782.0,1.0
"b_z[Japan/Korea, 2018-01]",0.188,0.909,-1.267,1.745,0.007,0.011,17676.0,5581.0,1.0
"b_z[Japan/Korea, 2018-02]",0.275,0.889,-1.218,1.696,0.007,0.01,15526.0,5385.0,1.0
"b_z[Japan/Korea, 2018-03]",0.135,0.901,-1.322,1.622,0.007,0.011,17411.0,6194.0,1.0
"b_z[Japan/Korea, 2018-04]",0.108,0.889,-1.388,1.521,0.007,0.011,16464.0,6010.0,1.0
"b_z[Japan/Korea, 2018-05]",0.051,0.814,-1.24,1.426,0.007,0.01,14809.0,5929.0,1.0
"b_z[Japan/Korea, 2018-06]",0.033,0.767,-1.267,1.258,0.006,0.009,18232.0,6444.0,1.0
"b_z[Japan/Korea, 2018-07]",-0.07,0.728,-1.239,1.124,0.006,0.009,16311.0,6030.0,1.0
"b_z[Japan/Korea, 2018-08]",-0.105,0.843,-1.469,1.313,0.007,0.01,15705.0,6004.0,1.0
"b_z[Japan/Korea, 2018-09]",-0.023,0.907,-1.533,1.442,0.007,0.012,19199.0,5777.0,1.0
"b_z[Japan/Korea, 2018-10]",-0.053,0.953,-1.572,1.571,0.007,0.013,17827.0,5477.0,1.0
"b_z[Japan/Korea, 2018-11]",-0.07,0.903,-1.639,1.326,0.007,0.012,17632.0,5908.0,1.0
"b_z[Japan/Korea, 2018-12]",-0.157,0.893,-1.622,1.295,0.007,0.011,16292.0,5941.0,1.0
"b_z[Japan/Korea, 2019-01]",-0.233,0.942,-1.843,1.244,0.008,0.012,15705.0,5593.0,1.0
"b_z[Japan/Korea, 2019-02]",-0.233,0.934,-1.738,1.327,0.007,0.011,16994.0,5266.0,1.0
"b_z[Japan/Korea, 2019-03]",-0.35,0.91,-1.849,1.143,0.007,0.01,17603.0,5958.0,1.0
"b_z[Japan/Korea, 2019-04]",-0.351,0.905,-1.85,1.131,0.007,0.01,17079.0,6179.0,1.0
"b_z[Japan/Korea, 2019-05]",-0.267,0.96,-1.802,1.308,0.007,0.012,19372.0,5779.0,1.0
"b_z[Japan/Korea, 2019-06]",-0.183,0.957,-1.761,1.387,0.007,0.011,18120.0,6090.0,1.0
"b_z[Japan/Korea, 2019-07]",-0.026,1.013,-1.686,1.608,0.007,0.014,18814.0,4948.0,1.0
"b_z[Japan/Korea, 2019-08]",-0.039,0.993,-1.673,1.573,0.007,0.013,19529.0,5735.0,1.0
"b_z[Japan/Korea, 2019-09]",-0.002,0.982,-1.631,1.552,0.007,0.013,19406.0,5624.0,1.0
"b_z[Japan/Korea, 2019-10]",-0.007,1.0,-1.691,1.586,0.007,0.014,19116.0,5463.0,1.0
"b_z[Japan/Korea, 2019-11]",-0.041,0.995,-1.704,1.593,0.007,0.013,18393.0,5120.0,1.0
"b_z[Japan/Korea, 2019-12]",-0.057,0.952,-1.622,1.494,0.008,0.012,15233.0,5361.0,1.0
"b_z[Japan/Korea, 2020-01]",-0.046,0.936,-1.557,1.501,0.007,0.011,17457.0,6209.0,1.0
"b_z[Japan/Korea, 2020-02]",-0.109,0.975,-1.714,1.503,0.007,0.013,20076.0,5651.0,1.0
"b_z[Japan/Korea, 2020-03]",-0.267,0.936,-1.774,1.251,0.007,0.011,16946.0,5965.0,1.0
"b_z[Japan/Korea, 2020-04]",-0.291,0.992,-1.929,1.311,0.008,0.012,16382.0,5582.0,1.0
"b_z[Japan/Korea, 2020-05]",-0.228,0.978,-1.777,1.392,0.007,0.013,18530.0,5316.0,1.0
"b_z[Japan/Korea, 2020-06]",-0.15,0.981,-1.75,1.478,0.007,0.013,17371.0,5552.0,1.0
"b_z[Japan/Korea, 2020-07]",-0.092,1.011,-1.749,1.583,0.007,0.013,18288.0,5926.0,1.0
"b_z[Japan/Korea, 2020-08]",-0.065,0.996,-1.698,1.538,0.007,0.013,18780.0,5444.0,1.0
"b_z[Japan/Korea, 2020-09]",-0.039,0.994,-1.688,1.584,0.007,0.013,20134.0,5898.0,1.0
"b_z[Japan/Korea, 2020-10]",-0.021,1.018,-1.732,1.59,0.008,0.014,17727.0,5406.0,1.0
"b_z[Japan/Korea, 2020-11]",-0.004,1.012,-1.722,1.595,0.008,0.014,17296.0,5321.0,1.0
"b_z[Japan/Korea, 2020-12]",0.007,1.0,-1.618,1.617,0.007,0.012,19688.0,6072.0,1.0
"b_z[Japan/Korea, 2021-01]",0.011,0.996,-1.59,1.675,0.007,0.013,18833.0,5490.0,1.0
"b_z[Japan/Korea, 2021-02]",-0.002,1.019,-1.701,1.641,0.007,0.014,20274.0,4884.0,1.0
"b_z[Japan/Korea, 2021-03]",-0.036,0.991,-1.69,1.593,0.008,0.013,17273.0,5389.0,1.0
"b_z[Japan/Korea, 2021-04]",-0.186,0.973,-1.729,1.418,0.007,0.012,18555.0,5309.0,1.0
"b_z[Japan/Korea, 2021-05]",-0.183,1.014,-1.958,1.385,0.007,0.013,18874.0,5459.0,1.0
"b_z[Japan/Korea, 2021-06]",-0.198,0.991,-1.828,1.405,0.007,0.013,19429.0,5438.0,1.0
"b_z[Japan/Korea, 2021-07]",-0.21,0.975,-1.846,1.372,0.007,0.012,19006.0,6215.0,1.0
"b_z[Japan/Korea, 2021-08]",-0.208,1.005,-1.821,1.49,0.007,0.013,18550.0,5182.0,1.0
"b_z[Japan/Korea, 2021-09]",-0.197,0.984,-1.809,1.451,0.008,0.012,16994.0,5821.0,1.0
"b_z[Japan/Korea, 2021-10]",-0.177,0.997,-1.777,1.493,0.007,0.012,20011.0,5956.0,1.0
"b_z[Japan/Korea, 2021-11]",-0.168,0.99,-1.891,1.367,0.007,0.012,17753.0,5322.0,1.0
"b_z[Japan/Korea, 2021-12]",-0.135,0.995,-1.704,1.566,0.008,0.013,16840.0,5567.0,1.0
"b_z[Japan/Korea, 2022-01]",-0.094,1.002,-1.721,1.524,0.008,0.014,17098.0,5234.0,1.0
"b_z[Japan/Korea, 2022-02]",-0.041,0.991,-1.69,1.575,0.007,0.013,19949.0,5488.0,1.0
"b_z[Japan/Korea, 2022-03]",0.005,0.998,-1.631,1.637,0.007,0.013,18652.0,5584.0,1.0
"b_z[Japan/Korea, 2022-04]",0.036,1.003,-1.685,1.578,0.008,0.013,17860.0,5552.0,1.0
"b_z[Japan/Korea, 2022-05]",0.093,1.005,-1.51,1.786,0.007,0.014,18385.0,5473.0,1.0
"b_z[Japan/Korea, 2022-06]",0.136,0.982,-1.46,1.773,0.007,0.012,17646.0,5440.0,1.0
"b_z[Japan/Korea, 2022-07]",0.099,1.009,-1.569,1.762,0.007,0.015,23637.0,4867.0,1.0
"b_z[Japan/Korea, 2022-08]",0.106,0.991,-1.6,1.657,0.007,0.013,18224.0,5159.0,1.0
"b_z[Japan/Korea, 2022-09]",0.142,0.993,-1.458,1.8,0.008,0.013,16782.0,5909.0,1.0
"b_z[Japan/Korea, 2022-10]",0.121,0.994,-1.488,1.781,0.007,0.014,17968.0,4951.0,1.0
"b_z[Japan/Korea, 2022-11]",0.055,0.998,-1.507,1.734,0.007,0.014,20245.0,5347.0,1.0
"b_z[Japan/Korea, 2022-12]",0.003,1.01,-1.633,1.66,0.008,0.013,16458.0,5866.0,1.0
"b_z[Japan/Korea, 2023-01]",0.01,1.004,-1.633,1.672,0.008,0.013,16946.0,5465.0,1.0
"b_z[Japan/Korea, 2023-02]",0.029,0.982,-1.521,1.663,0.007,0.013,19139.0,5909.0,1.0
"b_z[Japan/Korea, 2023-03]",0.04,0.984,-1.586,1.672,0.007,0.013,19733.0,5456.0,1.0
"b_z[Japan/Korea, 2023-04]",0.092,0.997,-1.592,1.687,0.008,0.013,16852.0,5750.0,1.0
"b_z[Japan/Korea, 2023-05]",0.031,0.977,-1.541,1.685,0.007,0.013,17305.0,5380.0,1.0
"b_z[Japan/Korea, 2023-06]",-0.005,0.918,-1.46,1.495,0.007,0.012,16992.0,5473.0,1.0
"b_z[Japan/Korea, 2023-07]",-0.199,0.856,-1.598,1.219,0.007,0.011,14419.0,5435.0,1.0
"b_z[Japan/Korea, 2023-08]",-0.439,0.76,-1.675,0.818,0.006,0.008,14988.0,6416.0,1.0
"b_z[Japan/Korea, 2023-09]",-0.407,0.628,-1.412,0.644,0.005,0.006,15199.0,5910.0,1.0
"b_z[Japan/Korea, 2023-10]",-0.587,0.577,-1.492,0.383,0.005,0.005,13064.0,6067.0,1.0
"b_z[Japan/Korea, 2023-11]",-0.502,0.562,-1.421,0.429,0.005,0.005,15300.0,6055.0,1.0
"b_z[Japan/Korea, 2023-12]",-0.542,0.565,-1.454,0.404,0.005,0.005,15027.0,5787.0,1.0
"b_z[North America, 2017-01]",0.114,0.884,-1.322,1.573,0.007,0.011,16125.0,5703.0,1.0
"b_z[North America, 2017-02]",0.122,0.939,-1.364,1.748,0.007,0.013,17398.0,5507.0,1.0
"b_z[North America, 2017-03]",0.012,0.944,-1.53,1.581,0.007,0.013,16310.0,5001.0,1.0
"b_z[North America, 2017-04]",-0.004,1.012,-1.738,1.602,0.007,0.013,19461.0,5569.0,1.0
"b_z[North America, 2017-05]",-0.03,1.007,-1.741,1.561,0.008,0.013,17502.0,5770.0,1.0
"b_z[North America, 2017-06]",-0.062,0.985,-1.696,1.577,0.007,0.013,18620.0,5288.0,1.0
"b_z[North America, 2017-07]",-0.078,0.962,-1.654,1.507,0.007,0.012,17396.0,5864.0,1.0
"b_z[North America, 2017-08]",-0.055,0.974,-1.753,1.457,0.008,0.014,16369.0,5215.0,1.0
"b_z[North America, 2017-09]",-0.048,0.977,-1.587,1.63,0.007,0.014,17529.0,5425.0,1.0
"b_z[North America, 2017-10]",-0.09,0.962,-1.697,1.421,0.007,0.012,19195.0,5585.0,1.0
"b_z[North America, 2017-11]",-0.142,0.981,-1.662,1.562,0.007,0.013,19813.0,5608.0,1.0
"b_z[North America, 2017-12]",-0.167,0.971,-1.733,1.444,0.008,0.013,15840.0,5055.0,1.0
"b_z[North America, 2018-01]",-0.139,0.994,-1.774,1.457,0.007,0.013,20089.0,5182.0,1.0
"b_z[North America, 2018-02]",-0.035,0.99,-1.636,1.604,0.007,0.013,19192.0,5839.0,1.0
"b_z[North America, 2018-03]",0.09,1.022,-1.555,1.775,0.008,0.014,18356.0,5514.0,1.0
"b_z[North America, 2018-04]",0.049,1.023,-1.758,1.631,0.007,0.015,19791.0,5471.0,1.0
"b_z[North America, 2018-05]",-0.06,1.019,-1.732,1.599,0.007,0.014,19321.0,5050.0,1.0
"b_z[North America, 2018-06]",-0.146,1.006,-1.825,1.45,0.007,0.014,18073.0,4922.0,1.0
"b_z[North America, 2018-07]",-0.086,0.981,-1.677,1.548,0.007,0.013,20648.0,5492.0,1.0
"b_z[North America, 2018-08]",-0.129,1.0,-1.791,1.488,0.007,0.013,19307.0,5621.0,1.0
"b_z[North America, 2018-09]",-0.343,0.949,-1.887,1.205,0.007,0.011,17789.0,6253.0,1.0
"b_z[North America, 2018-10]",-0.476,0.928,-2.007,1.039,0.007,0.011,17074.0,4955.0,1.0
"b_z[North America, 2018-11]",-0.182,0.972,-1.81,1.374,0.007,0.012,19197.0,6041.0,1.0
"b_z[North America, 2018-12]",0.605,0.956,-0.975,2.165,0.007,0.01,18686.0,5583.0,1.0
"b_z[North America, 2019-01]",0.982,0.855,-0.434,2.385,0.007,0.007,15565.0,5502.0,1.0
"b_z[North America, 2019-02]",1.068,0.776,-0.194,2.341,0.006,0.006,16639.0,5961.0,1.0
"b_z[North America, 2019-03]",0.828,0.837,-0.574,2.173,0.006,0.007,16759.0,6561.0,1.0
"b_z[North America, 2019-04]",0.479,0.929,-0.995,2.053,0.007,0.01,16518.0,5973.0,1.0
"b_z[North America, 2019-05]",0.107,0.997,-1.509,1.744,0.007,0.013,18764.0,5906.0,1.0
"b_z[North America, 2019-06]",0.023,1.009,-1.636,1.703,0.007,0.013,18533.0,6060.0,1.0
"b_z[North America, 2019-07]",-0.003,0.982,-1.773,1.456,0.007,0.013,19879.0,5929.0,1.0
"b_z[North America, 2019-08]",-0.003,0.988,-1.641,1.593,0.007,0.013,19128.0,5888.0,1.0
"b_z[North America, 2019-09]",0.029,1.005,-1.575,1.717,0.007,0.013,17902.0,5615.0,1.0
"b_z[North America, 2019-10]",-0.003,0.986,-1.601,1.622,0.007,0.013,18295.0,5259.0,1.0
"b_z[North America, 2019-11]",-0.013,1.005,-1.66,1.626,0.008,0.013,17919.0,5786.0,1.0
"b_z[North America, 2019-12]",-0.044,0.966,-1.627,1.532,0.007,0.012,18434.0,5938.0,1.0
"b_z[North America, 2020-01]",-0.033,0.877,-1.479,1.418,0.007,0.011,17911.0,5603.0,1.0
"b_z[North America, 2020-02]",0.07,0.819,-1.297,1.395,0.006,0.01,18442.0,6022.0,1.0
"b_z[North America, 2020-03]",-0.223,0.886,-1.675,1.238,0.006,0.012,20836.0,5065.0,1.0
"b_z[North America, 2020-04]",-0.36,0.985,-2.05,1.19,0.007,0.011,20171.0,6067.0,1.0
"b_z[North America, 2020-05]",-0.606,0.938,-2.127,0.967,0.008,0.009,14743.0,6081.0,1.0
"b_z[North America, 2020-06]",-0.966,0.783,-2.199,0.356,0.006,0.006,16391.0,6189.0,1.0
"b_z[North America, 2020-07]",-1.009,0.596,-2.001,-0.045,0.005,0.004,14353.0,6621.0,1.0
"b_z[North America, 2020-08]",-1.019,0.613,-2.038,-0.051,0.005,0.004,14920.0,6230.0,1.0
"b_z[North America, 2020-09]",-0.948,0.753,-2.126,0.322,0.006,0.006,15604.0,6411.0,1.0
"b_z[North America, 2020-10]",-0.601,0.913,-2.025,0.989,0.007,0.009,17267.0,6357.0,1.0
"b_z[North America, 2020-11]",-0.48,0.953,-2.012,1.139,0.008,0.01,15429.0,6065.0,1.0
"b_z[North America, 2020-12]",-0.735,0.872,-2.103,0.791,0.007,0.008,16541.0,6132.0,1.0
"b_z[North America, 2021-01]",-0.727,0.88,-2.202,0.67,0.007,0.008,15420.0,6109.0,1.0
"b_z[North America, 2021-02]",-0.68,0.91,-2.117,0.885,0.007,0.009,15039.0,5974.0,1.0
"b_z[North America, 2021-03]",-0.609,0.932,-2.081,0.996,0.007,0.009,17308.0,6019.0,1.0
"b_z[North America, 2021-04]",-0.528,0.944,-2.088,1.0,0.007,0.011,20070.0,5413.0,1.0
"b_z[North America, 2021-05]",-0.434,0.942,-2.007,1.077,0.007,0.01,16445.0,5938.0,1.0
"b_z[North America, 2021-06]",-0.371,0.948,-1.93,1.192,0.007,0.011,17121.0,5634.0,1.0
"b_z[North America, 2021-07]",-0.339,0.887,-1.732,1.166,0.007,0.01,16077.0,5739.0,1.0
"b_z[North America, 2021-08]",-0.345,0.77,-1.537,0.991,0.006,0.009,16760.0,5479.0,1.0
"b_z[North America, 2021-09]",-0.341,0.709,-1.552,0.777,0.005,0.008,16693.0,6010.0,1.0
"b_z[North America, 2021-10]",-0.119,0.762,-1.386,1.085,0.006,0.01,17241.0,5562.0,1.0
"b_z[North America, 2021-11]",-0.075,0.903,-1.576,1.434,0.007,0.013,18551.0,4938.0,1.0
"b_z[North America, 2021-12]",-0.02,0.968,-1.58,1.595,0.007,0.013,19310.0,5634.0,1.0
"b_z[North America, 2022-01]",-0.039,0.995,-1.659,1.564,0.007,0.013,19183.0,5882.0,1.0
"b_z[North America, 2022-02]",0.062,0.983,-1.712,1.545,0.007,0.013,17294.0,5410.0,1.0
"b_z[North America, 2022-03]",0.103,0.968,-1.498,1.691,0.007,0.013,17543.0,5557.0,1.0
"b_z[North America, 2022-04]",0.158,0.956,-1.379,1.74,0.007,0.013,20145.0,5516.0,1.0
"b_z[North America, 2022-05]",0.149,0.905,-1.323,1.633,0.007,0.012,18338.0,5390.0,1.0
"b_z[North America, 2022-06]",0.08,0.91,-1.454,1.531,0.007,0.012,17625.0,5842.0,1.0
"b_z[North America, 2022-07]",-0.008,0.939,-1.558,1.475,0.007,0.012,17680.0,5787.0,1.0
"b_z[North America, 2022-08]",-0.016,0.958,-1.55,1.579,0.007,0.013,17736.0,5531.0,1.0
"b_z[North America, 2022-09]",-0.009,1.009,-1.688,1.61,0.008,0.013,17349.0,5786.0,1.0
"b_z[North America, 2022-10]",0.004,1.017,-1.726,1.584,0.007,0.015,20749.0,5110.0,1.0
"b_z[North America, 2022-11]",0.029,0.975,-1.551,1.63,0.007,0.013,18294.0,6155.0,1.0
"b_z[North America, 2022-12]",0.021,0.996,-1.55,1.722,0.007,0.013,19260.0,5563.0,1.0
"b_z[North America, 2023-01]",-0.004,1.016,-1.497,1.82,0.007,0.014,19368.0,5656.0,1.0
"b_z[North America, 2023-02]",-0.025,0.965,-1.639,1.504,0.007,0.012,17510.0,5983.0,1.0
"b_z[North America, 2023-03]",-0.019,0.978,-1.601,1.578,0.008,0.013,14976.0,5430.0,1.0
"b_z[North America, 2023-04]",0.06,1.012,-1.662,1.671,0.007,0.015,19600.0,5472.0,1.0
