,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[Europe, 2019-06]",0.433,0.303,-0.07,0.931,0.002,0.002,19087.0,6334.0,1.0
"c[Europe, 2019-07]",0.396,0.284,-0.056,0.868,0.002,0.002,20273.0,5996.0,1.0
"c[Europe, 2019-08]",0.305,0.286,-0.153,0.779,0.002,0.002,17730.0,6210.0,1.0
"c[Europe, 2019-09]",0.28,0.305,-0.24,0.765,0.002,0.003,16648.0,5579.0,1.0
"c[Europe, 2019-10]",0.214,0.336,-0.337,0.767,0.003,0.003,15309.0,6047.0,1.0
"c[Europe, 2019-11]",0.438,0.385,-0.195,1.063,0.003,0.003,17544.0,5530.0,1.0
"c[Europe, 2019-12]",0.406,0.375,-0.21,1.005,0.003,0.003,18834.0,5652.0,1.0
"c[Europe, 2020-01]",0.476,0.375,-0.174,1.062,0.003,0.003,17318.0,6013.0,1.0
"c[Europe, 2020-02]",0.589,0.383,-0.028,1.224,0.003,0.003,17540.0,5859.0,1.0
"c[Europe, 2020-03]",0.655,0.314,0.147,1.173,0.003,0.002,14227.0,6245.0,1.0
"c[Europe, 2020-04]",0.47,0.202,0.131,0.794,0.002,0.001,12895.0,6027.0,1.0
"c[Europe, 2020-05]",0.495,0.212,0.16,0.853,0.002,0.001,12417.0,6699.0,1.0
"c[Europe, 2020-06]",0.545,0.216,0.182,0.896,0.002,0.002,11472.0,6332.0,1.0
"c[Europe, 2020-07]",0.709,0.263,0.29,1.153,0.002,0.002,11210.0,5744.0,1.0
"c[Europe, 2020-08]",0.812,0.307,0.335,1.328,0.003,0.002,11549.0,6378.0,1.0
"c[Europe, 2020-09]",0.761,0.28,0.288,1.201,0.003,0.002,10789.0,5830.0,1.0
"c[Europe, 2020-10]",0.642,0.252,0.229,1.05,0.002,0.002,11419.0,6288.0,1.0
"c[Europe, 2020-11]",0.452,0.213,0.086,0.787,0.002,0.001,15152.0,6319.0,1.0
"c[Europe, 2020-12]",0.364,0.215,0.027,0.726,0.002,0.002,13830.0,6472.0,1.0
"c[Europe, 2021-01]",0.25,0.204,-0.103,0.566,0.002,0.001,14980.0,6138.0,1.0
"c[Europe, 2021-02]",0.099,0.191,-0.228,0.401,0.002,0.002,14843.0,5614.0,1.0
"c[Europe, 2021-03]",0.097,0.192,-0.23,0.403,0.002,0.002,16325.0,5736.0,1.0
"c[Europe, 2021-04]",0.145,0.199,-0.196,0.457,0.002,0.002,15617.0,6137.0,1.0
"c[Europe, 2021-05]",0.324,0.217,-0.042,0.676,0.002,0.002,15898.0,6319.0,1.0
"c[Europe, 2021-06]",0.467,0.261,0.021,0.884,0.002,0.002,13932.0,6151.0,1.0
"c[Europe, 2021-07]",0.613,0.328,0.062,1.138,0.003,0.002,15155.0,5857.0,1.0
"c[Europe, 2021-08]",0.586,0.354,0.03,1.19,0.003,0.003,16447.0,5306.0,1.0
"c[Europe, 2021-09]",0.479,0.339,-0.094,1.027,0.003,0.002,16123.0,5896.0,1.0
