var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,2023,Africa,-0.10187980519322963,0.2787957405589853,-0.5945011103556436,0.32226161373124707,-0.67402867308137,0.42271527112548896
antigenic-drift,2022,Africa,-0.28048306620174907,0.17217058292628923,-0.5452415755985237,0.02112382115111601,-0.6219966921795572,0.054930547381213564
antigenic-drift,2021,Africa,0.46416060623699207,0.13284704267623537,0.2570029097678784,0.6920342739737293,0.195825368546969,0.7126768171666797
antigenic-drift,2020,Africa,0.3568923265589093,0.15615927717441005,0.0981837471727888,0.6057262272974306,0.04793839845263745,0.6542641619123374
antigenic-drift,2019,Africa,-0.11249006064554386,0.1566110285259288,-0.35761356569657865,0.15696602057040498,-0.42540956811831293,0.1891109244298966
antigenic-drift,2018,Africa,-0.20459110984990897,0.16096694902086725,-0.4735818443647084,0.058927332414163945,-0.5318664167449111,0.10518670328377042
antigenic-drift,2017,Africa,-0.1415989935052055,0.16038112356854492,-0.40794930026341997,0.12321834959173533,-0.4554420400536989,0.17206211744675579
antigenic-drift,2023,Japan-Korea,-0.1810636437571634,0.2781227152133501,-0.6708645594543183,0.24950478661945324,-0.7319286535618308,0.35430100896962335
antigenic-drift,2022,Japan-Korea,-0.17208563536305752,0.17210760913262782,-0.46226191253379906,0.10405424973636772,-0.5099669591965869,0.16226977739792794
antigenic-drift,2021,Japan-Korea,-0.28344607024355545,0.1696880562798287,-0.5638845921192975,-0.008525626051930786,-0.6236941683550548,0.03856991210531022
antigenic-drift,2020,Japan-Korea,-0.2712924039906957,0.16808997431961584,-0.5328316767314902,0.01760596775167157,-0.6044867309830292,0.05964062465368553
antigenic-drift,2019,Japan-Korea,-0.2923584827382786,0.1663794675666896,-0.5643535569156842,-0.020578857272739115,-0.6220527972997919,0.02885845594461144
antigenic-drift,2018,Japan-Korea,-0.18162206451074994,0.14992982362503732,-0.4299928477533658,0.06144711571956159,-0.47763127141210204,0.10490915785755638
antigenic-drift,2017,Japan-Korea,-0.1721193898321554,0.16479548142214342,-0.4478415721630966,0.09294527562414001,-0.48314247924071424,0.15798329762129343
antigenic-drift,2023,North America,-0.20343278248755342,0.27509038822527854,-0.6426592180274558,0.256841972033359,-0.734520262185634,0.3490372960648432
antigenic-drift,2022,North America,-0.17947009483651913,0.1658298800292826,-0.46109575378176476,0.0853588259427688,-0.48280993643272335,0.16434441850117806
antigenic-drift,2021,North America,-0.4342179190980589,0.15497829955420603,-0.6763323231477621,-0.1674689699207885,-0.7381349784213683,-0.1345218442151399
antigenic-drift,2020,North America,-0.5134810398498726,0.14898935274511468,-0.7604837542588765,-0.26969049330795813,-0.8135746971457988,-0.23400103074310696
antigenic-drift,2019,North America,-0.030285276779822415,0.16700711523764378,-0.31132444450984276,0.23749208856250154,-0.3584942567553324,0.28934630290442587
antigenic-drift,2018,North America,-0.27858422513827397,0.17597055641961837,-0.559404229009083,0.0189891978795916,-0.646128451691725,0.05082756876138901
antigenic-drift,2017,North America,-0.21814760325307309,0.16492297340949033,-0.4884450818003467,0.049509733675707546,-0.543610657269018,0.10077924489675164
antigenic-drift,2023,North China,-0.18221432977279511,0.24963695671939634,-0.5857244081919083,0.23806488552204175,-0.6392943277964696,0.3380508116052494
antigenic-drift,2022,North China,-0.3377467721877193,0.12620132720089372,-0.5481346673588471,-0.13360462947843368,-0.5827624699864657,-0.08911764075486062
antigenic-drift,2021,North China,-0.18088969376225877,0.16956739927591452,-0.470894652808339,0.09032562781785952,-0.5244327963064346,0.14261982502766823
antigenic-drift,2020,North China,-0.3546092465205644,0.1676390920172739,-0.626247386963184,-0.08124933682925645,-0.6898321225141015,-0.036490951472355565
antigenic-drift,2019,North China,-0.18483016552903256,0.17282645708074376,-0.48156077231208466,0.08166191048052354,-0.5066467386761165,0.17520531238120782
antigenic-drift,2018,North China,-0.14884468570225579,0.1708878532197166,-0.4376895802667589,0.12074192922395391,-0.4913412998038808,0.1892271682067804
antigenic-drift,2017,North China,-0.12067210449860943,0.16434475348052038,-0.3830235954129471,0.15724127175888844,-0.4520756530405482,0.19431685781807595
antigenic-drift,2023,Oceania,-0.17834826471993181,0.27426710234707197,-0.6405767215715852,0.26252655893022386,-0.7136479254965895,0.35744996633516535
antigenic-drift,2022,Oceania,-0.26508444389524666,0.15588852984830157,-0.5390969252513362,-0.02587667659765205,-0.5770923369524474,0.032015344614014146
antigenic-drift,2021,Oceania,-0.431624701163778,0.15782783514098866,-0.6790564184414924,-0.16306681036283407,-0.7469290322865458,-0.1334317344377206
antigenic-drift,2020,Oceania,-0.37161775226306004,0.13954879583171606,-0.5966477016275136,-0.14567124978876492,-0.6586597308956565,-0.11102086869656541
antigenic-drift,2019,Oceania,-0.1579283910651887,0.16627866847019207,-0.4204670570134844,0.12625467914689692,-0.4877051504118626,0.16637808987659103
antigenic-drift,2018,Oceania,-0.17952482672075593,0.15705954516316287,-0.4384933035483857,0.07653518271935345,-0.48680536263301855,0.13097914394366794
antigenic-drift,2017,Oceania,-0.19375821933991189,0.1636893289752761,-0.46980577743654595,0.067027840592837,-0.5144620567838186,0.13140921238569092
antigenic-drift,2023,Western Asia,-0.2123188697845508,0.2853657416586424,-0.6464376236971585,0.2914031494443493,-0.7818442322072795,0.3390054205656187
antigenic-drift,2022,Western Asia,-0.2264396107794126,0.16469774074723595,-0.49838497392418957,0.04391947225303416,-0.5548003476054612,0.09423040577335386
