time	date	datetime	milliseconds	mean	median	upper	lower
2024.238	2024-03-26	2024-03-26T20:52:48	1711486368275	24.59013951055486	24.047257986603153	45.874733770667035	13.289027250292783
2023.7187692307693	2023-09-19	2023-09-19T08:25:06	1695111906736	24.014977747616108	23.90823200075305	36.02665702512995	15.808441295810155
2023.1995384615386	2023-03-13	2023-03-13T19:57:25	1678737445198	33.48284963939541	33.085300509417365	48.70996586264402	23.12488779547951
2022.680307692308	2022-09-05	2022-09-05T07:29:43	1662362983659	17.795682428075434	17.731278506160223	24.330353473341066	12.778946312672232
2022.1610769230772	2022-02-27	2022-02-27T19:02:02	1645988522121	48.88109051610314	47.7643451669271	86.21606731875896	28.073936086255024
2021.6418461538465	2021-08-22	2021-08-22T06:34:20	1629614060582	13.34518753900984	13.33323297656379	19.340603673597503	9.323157319611795
2021.1226153846158	2021-02-13	2021-02-13T18:06:39	1613239599044	4.448250837928086	4.431035513247398	6.553501730449031	3.041456544411461
2020.603384615385	2020-08-07	2020-08-07T05:38:57	1596778737505	13.861866088029545	13.450443847816729	30.73042766115883	6.381180741401741
2020.0841538461543	2020-01-30	2020-01-30T17:11:15	1580404275967	106.8294758739308	105.71278634451099	166.1843634816956	69.9326088326234
2019.5649230769236	2019-07-25	2019-07-25T04:43:34	1564029814428	16.37758179940943	16.350344655780614	22.527653905333597	11.760241617808187
2019.045692307693	2019-01-16	2019-01-16T16:15:52	1547655352890	14.848591045894793	14.766640335763647	19.827124672528058	11.018503738931036
2018.5264615384622	2018-07-11	2018-07-11T03:48:11	1531280891351	16.94265117582583	16.827680437850482	24.570628756713813	11.56768279987967
2018.0072307692315	2018-01-02	2018-01-02T15:20:29	1514906429813	31.008151766509595	30.763744996706713	45.5811686378361	21.043786568146984
2017.4880000000007	2017-06-27	2017-06-27T02:52:48	1498531968275	48.23803490199084	47.86945290595134	76.37440502338548	29.685373743718245
2016.96876923077	2016-12-18	2016-12-18T14:25:06	1482071106736	33.667478396877364	33.17374514901515	52.85332724936823	21.006220750849433
2016.4495384615393	2016-06-12	2016-06-12T01:57:25	1465696645198	23.686258470453154	23.3681473628387	37.32175374775449	16.297141248814413
2015.9303076923086	2015-12-05	2015-12-05T13:29:43	1449322183659	12.373129151921018	12.371606539388825	17.160824242405738	8.893518800524278
2015.4110769230779	2015-05-30	2015-05-30T01:02:02	1432947722121	7.536715658135293	7.4834219439299545	10.965084559142952	5.123814470205794
2014.8918461538472	2014-11-21	2014-11-21T12:34:20	1416573260582	15.027678422415104	14.85514829946759	23.13011840181513	9.850882738627266
2014.3726153846164	2014-05-16	2014-05-16T00:06:39	1400198799044	70.54287638465719	68.82197529253337	132.48769061424125	38.511923549828786
2013.8533846153857	2013-11-07	2013-11-07T11:38:57	1383824337505	19.554033771450154	19.547420025914235	26.93144739163578	14.654116009898692
2013.334153846155	2013-05-01	2013-05-01T23:11:15	1367449875967	43.18750981588222	42.509303396745175	74.39866543093949	27.992192123356325
2012.8149230769243	2012-10-23	2012-10-23T10:43:34	1350989014428	31.057956646131256	30.831392735925707	45.88585975739426	21.854018754521995
2012.2956923076936	2012-04-16	2012-04-16T22:15:52	1334614552890	40.500392923088704	40.28443111635501	60.864470123497306	27.543187259949175
2011.7764615384629	2011-10-10	2011-10-10T09:48:11	1318240091351	9.708853427307549	9.682936662983439	13.54143428966417	7.17650244864782
2011.2572307692321	2011-04-03	2011-04-03T21:20:29	1301865629815	49.348213879716546	48.502038853215026	81.48277747557593	29.381825491343555
2010.7380000000014	2010-09-26	2010-09-26T08:52:48	1285491168277	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2010.7380000000014	2010-09-26	2010-09-26T08:52:48	1285491168277	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2010.2187692307707	2010-03-20	2010-03-20T20:25:06	1269116706738	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2009.69953846154	2009-09-12	2009-09-12T07:57:25	1252742245200	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2009.1803076923093	2009-03-06	2009-03-06T19:29:43	1236367783661	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2008.6610769230786	2008-08-28	2008-08-28T07:02:02	1219906922123	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2008.1418461538478	2008-02-20	2008-02-20T18:34:20	1203532460584	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2007.6226153846171	2007-08-15	2007-08-15T06:06:39	1187157999047	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
2007.1033846153864	2007-02-06	2007-02-06T17:38:57	1170783537508	12.233820624922052	12.255939181478292	16.648069830656997	9.0900208996512
