time	date	datetime	milliseconds	mean	median	upper	lower
2020.216	2020-03-18	2020-03-18T20:09:36	1584562176608	6.007193672504431	5.932577510086171	10.888361304985885	3.5124740768841676
2019.688222222222	2019-09-08	2019-09-08T04:49:36	1567918176608	14.211005560404045	14.070717277894216	22.997577487024422	8.75996535388675
2019.1604444444442	2019-02-27	2019-02-27T13:29:36	1551274176608	44.81595608018922	44.50754556271346	62.96151399456764	31.792824785655746
2018.6326666666664	2018-08-18	2018-08-18T22:09:36	1534630176608	55.1526205389814	54.55107905620482	91.92431701782985	34.95789604350058
2018.1048888888886	2018-02-07	2018-02-07T06:49:36	1517986176608	35.31775739281	35.112824319737754	48.04942546554147	26.6913703445487
2017.5771111111108	2017-07-29	2017-07-29T15:29:36	1501342176608	16.625573615367717	16.523003908055628	23.22901810976502	11.906428042152934
2017.049333333333	2017-01-18	2017-01-18T00:09:36	1484698176609	12.338666714550362	12.278061598157816	17.312238095489402	8.75591013067424
2016.521555555555	2016-07-08	2016-07-08T08:49:36	1467967776609	33.37035349615874	32.93042970433743	52.84427320327214	22.019518449349544
2015.9937777777773	2015-12-28	2015-12-28T17:29:36	1451323776609	37.93378319124999	37.66222591467573	53.8688478163946	27.214548150784296
2015.4659999999994	2015-06-19	2015-06-19T02:09:36	1434679776609	49.18650410864265	48.388447767698956	80.04399659231238	32.079266675492974
2014.9382222222216	2014-12-08	2014-12-08T10:49:36	1418035776609	23.65171922462473	23.556966984650877	32.36697686287525	17.553058638732136
2014.4104444444438	2014-05-29	2014-05-29T19:29:36	1401391776609	23.096285401668894	22.970390359231722	33.74068724185504	16.07850917783152
2013.882666666666	2013-11-18	2013-11-18T04:09:36	1384747776609	19.53676919942008	19.410932068108874	27.287409061954506	13.88721743104035
2013.3548888888881	2013-05-09	2013-05-09T12:49:36	1368103776609	28.177955040244417	27.846875234098857	42.654909058434214	18.85049741428523
2012.8271111111103	2012-10-27	2012-10-27T21:29:36	1351373376609	19.139503670204128	19.010361793455086	29.040752327918845	13.466699744055461
2012.2993333333325	2012-04-18	2012-04-18T06:09:36	1334729376609	13.857386107010111	13.784706275999756	19.515608087977746	9.81838916915946
2011.7715555555546	2011-10-08	2011-10-08T14:49:36	1318085376609	7.561636806508228	7.538000211421132	10.552325567678212	5.288060437094392
2011.2437777777768	2011-03-29	2011-03-29T23:29:36	1301441376609	21.41308859246821	20.66718853698428	46.75795722085623	10.18724834701397
2010.715999999999	2010-09-18	2010-09-18T08:09:36	1284797376609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2010.715999999999	2010-09-18	2010-09-18T08:09:36	1284797376609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2010.1882222222212	2010-03-09	2010-03-09T16:49:36	1268153376609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2009.6604444444433	2009-08-29	2009-08-29T01:29:36	1251509376609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2009.1326666666655	2009-02-17	2009-02-17T10:09:36	1234865376609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2008.6048888888877	2008-08-07	2008-08-07T18:49:36	1218134976609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2008.0771111111098	2008-01-28	2008-01-28T03:29:36	1201490976609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2007.549333333332	2007-07-19	2007-07-19T12:09:36	1184846976609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2007.0215555555542	2007-01-07	2007-01-07T20:49:36	1168202976609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2006.4937777777764	2006-06-29	2006-06-29T05:29:36	1151558976609	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2005.9659999999985	2005-12-18	2005-12-18T14:09:36	1134914976610	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2005.4382222222207	2005-06-08	2005-06-08T22:49:36	1118270976610	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
2004.9104444444429	2004-11-27	2004-11-27T07:29:36	1101540576610	4.46467897307941	4.461362754496531	7.074188454850141	2.9505820603301194
