var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,pos,Africa,0.6492715458128038,0.11779196704031888,0.4672971870333123,0.8526712007373298,0.41241512869568725,0.8739741741682341
air-traffic,pan2,Africa,0.5486516906458976,0.07723236524332922,0.4244256879767001,0.6752935260059293,0.3968412713291423,0.6967686306167401
air-traffic,pan1,Africa,0.804945956972188,0.08447202831724313,0.6656184168232696,0.9432656376544083,0.6386162230620683,0.9693214143855848
air-traffic,pre,Africa,0.4112594558483522,0.06288515436371588,0.31108349161811183,0.5155861773881524,0.28650938861684255,0.5340254179410509
air-traffic,pos,Japan-Korea,0.630480330010293,0.12333796969428465,0.4335977275358263,0.8403596524057573,0.3876404456854826,0.8688152461645435
air-traffic,pan2,Japan-Korea,0.2740451338017466,0.0741874345926752,0.15498085816704493,0.39706390154137555,0.12560222283456587,0.41402999799943263
air-traffic,pan1,Japan-Korea,0.2638844213748472,0.08350729915543788,0.12429111079025869,0.39901414652505346,0.09824800601449028,0.42382573520802147
air-traffic,pre,Japan-Korea,0.45524066594190504,0.05899979192353466,0.3568385284157971,0.5512894498359227,0.3400358288425996,0.5713714642912079
air-traffic,pos,North America,0.6445299421931827,0.11955936069573286,0.4429382947617722,0.8369825142941918,0.4078954780923654,0.8779212231291196
air-traffic,pan2,North America,0.4416976235829332,0.07746221825617643,0.31670782315227836,0.5681411022641171,0.29538164533202244,0.5956541846103209
air-traffic,pan1,North America,0.35451699608761644,0.07593863859506265,0.22893378124144914,0.4800594734016197,0.20861115720737153,0.5042898953992471
air-traffic,pre,North America,0.35391488559630513,0.062117931719608444,0.24989373917854502,0.45339168155560755,0.2342373125960257,0.4747995546851438
air-traffic,pos,North China,0.4898093800877567,0.1164469414025036,0.2936656699570354,0.6718093260999751,0.2674842138742099,0.7167334988027907
air-traffic,pan2,North China,0.4657630917486671,0.06803083453201024,0.35542116369436716,0.5768649776912348,0.3361245057778495,0.6031510914694694
air-traffic,pan1,North China,0.33687082246139416,0.10351292772609431,0.17089491595459438,0.5104443029709778,0.13499234043099287,0.5408092417892189
air-traffic,pre,North China,0.4591919584372779,0.061187992428631315,0.35557967559822945,0.5560204319349665,0.3373899647089604,0.5760627864332568
air-traffic,pos,Oceania,0.6408146702931099,0.12391757965336815,0.4356793239842904,0.8401738296959247,0.3994544919152613,0.8839296265261521
air-traffic,pan2,Oceania,0.376180472598049,0.07102754537171815,0.2616359854263042,0.4925433798457881,0.23581958894480806,0.5159913407537914
air-traffic,pan1,Oceania,0.503096935937412,0.07631427189573257,0.38201146104647865,0.6325831045579313,0.35318925435972287,0.6522463669408259
