var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,pos,Africa,-0.2798198058900595,0.1425647286960116,-0.5241478404644755,-0.05188948922662932,-0.5502131054308035,0.014517477069000874
antigenic-drift,pan2,Africa,-0.014178181193402199,0.10586642228344607,-0.18220721352319522,0.16235636615669438,-0.21704225850249206,0.19385908580567998
antigenic-drift,pan1,Africa,0.4376162223162363,0.15102821547843992,0.17982134939996977,0.6734792634012853,0.14990939015115004,0.733902133824242
antigenic-drift,pre,Africa,-0.10906906417301375,0.09236025941984133,-0.2564997042474803,0.048160210425460176,-0.29903104495538824,0.06489054417068377
antigenic-drift,pos,Japan-Korea,-0.36038645332538777,0.14726211912479303,-0.6084692835882776,-0.12694262935155085,-0.6381468227928405,-0.06043032557148696
antigenic-drift,pan2,Japan-Korea,-0.22651539844041133,0.1217029830766972,-0.42484218206700436,-0.025636166502529385,-0.4588657204405429,0.016807804084694938
antigenic-drift,pan1,Japan-Korea,-0.2471496479394994,0.1627143589122477,-0.5154240407096695,0.024892361450919553,-0.5589051300898976,0.08249716262855146
antigenic-drift,pre,Japan-Korea,-0.22028489684460453,0.0923451792773401,-0.3658777680642571,-0.06095676790565456,-0.3931148316215709,-0.032563538415526685
antigenic-drift,pos,North America,-0.04634037511794045,0.15339862549755928,-0.3011590701529301,0.19932397226773965,-0.3454543444597069,0.25563120840273784
antigenic-drift,pan2,North America,-0.2531468658908023,0.11179478390042032,-0.4300174631451612,-0.06424436969010176,-0.47157929433846196,-0.03182466426337
antigenic-drift,pan1,North America,-0.6057358747926018,0.1519577129198485,-0.8594648607348955,-0.36421641563951795,-0.9129830118452311,-0.3120899196598587
antigenic-drift,pre,North America,-0.17719946280922064,0.09404612467128445,-0.3268276089347684,-0.01839142911080363,-0.36552335020387344,0.002026567498744012
antigenic-drift,pos,North China,-0.11518989786146155,0.1643188737270889,-0.3914810061227039,0.13879781219919665,-0.4345493908692588,0.20554820025927206
antigenic-drift,pan2,North China,-0.24733217754710954,0.1028268756220148,-0.4190114230812439,-0.08068951719600602,-0.44928980831469384,-0.04584093261080452
antigenic-drift,pan1,North China,-0.34344208993594616,0.16634681925313688,-0.614990835817469,-0.06740025113495336,-0.6739970373658313,-0.013771985159546564
antigenic-drift,pre,North China,-0.16270250585849033,0.09686827041611694,-0.31880943057797834,-0.0022663196651593973,-0.3515396412562337,0.02953313216915675
antigenic-drift,pos,Oceania,-0.09920999703247362,0.1497252854511054,-0.3506352161719646,0.13820721772635935,-0.3791976369617504,0.19907731270580337
antigenic-drift,pan2,Oceania,-0.29472291700029396,0.11185763789744686,-0.4759015613116732,-0.11157219224489023,-0.5097395794073273,-0.07214649001551336
antigenic-drift,pan1,Oceania,-0.44978074106732713,0.13363734184304982,-0.680124727388367,-0.2378272409371505,-0.7028035695281957,-0.18016671200163184
antigenic-drift,pre,Oceania,-0.1821372641974022,0.09247949937744054,-0.3332261833325743,-0.03155526968805846,-0.3545854327781248,0.005062552202849446
antigenic-drift,pos,Western Asia,-0.2768779212869365,0.16587282374737405,-0.5392572890972146,0.005205464487107853,-0.6121403206264736,0.04156597463799485
antigenic-drift,pan2,Western Asia,-0.2273329061455824,0.11744763619405835,-0.4146848492666854,-0.02975199785346627,-0.4505283551864446,0.004106504886530193
antigenic-drift,pan1,Western Asia,-0.30003420707366707,0.15661290436047562,-0.5621881398960106,-0.04831265085377726,-0.6220244455991181,-0.0036894269394120716
antigenic-drift,pre,Western Asia,-0.1827927499091795,0.0893199914988278,-0.32964555270793794,-0.03817570209253887,-0.3572840699983517,-0.0019980066272833673
antigenic-drift,pos,South America,-0.17013695668026896,0.1571321958697508,-0.4184021236929465,0.10109721506816732,-0.4774077086363697,0.1412221236659937
antigenic-drift,pan2,South America,-0.3238151297830679,0.11096255219739451,-0.5050654900073911,-0.14237991686518206,-0.5374969030550253,-0.10436863185013462
antigenic-drift,pan1,South America,-0.7690620807936672,0.1066177529546847,-0.9500117301547707,-0.6002728002304042,-0.9800316235201164,-0.5617228367262704
antigenic-drift,pre,South America,-0.2144978011908047,0.09132505991693422,-0.36489966148492553,-0.06620480450132571,-0.38828318796983036,-0.030349893115623194
antigenic-drift,pos,South China,-0.17670329580873667,0.1366522331151528,-0.3997424637302352,0.048196006655513074,-0.446947437677064,0.08465977227111338
antigenic-drift,pan2,South China,-0.1601572930813449,0.07412256857489785,-0.27687131214565663,-0.0341099984694252,-0.2984235439636798,-0.012357805334254096
antigenic-drift,pan1,South China,0.42252461395136165,0.1611075474645443,0.1569713620578572,0.6861860703061243,0.1201107682055952,0.7514646060374859
antigenic-drift,pre,South China,-0.1677459184577789,0.09441905146554323,-0.32982327614108686,-0.02014572583073493,-0.34804412854454636,0.019893878625398882
antigenic-drift,pos,South-eastern Asia,-0.3194584816853659,0.14334427789747112,-0.5487266760519477,-0.08290164903683812,-0.6224065597960929,-0.053822019459657894
antigenic-drift,pan2,South-eastern Asia,-0.20687290096399408,0.1120697848603962,-0.39036490885207176,-0.023068400216603845,-0.41740715074857043,0.025578233411246914
antigenic-drift,pan1,South-eastern Asia,-0.2122331920752956,0.161817535432655,-0.4846656159878213,0.04480961317534967,-0.5319028168624311,0.10319579238089306
antigenic-drift,pre,South-eastern Asia,-0.25822872116428897,0.09483448352305932,-0.41006398147035583,-0.09921484423246808,-0.44354698084295235,-0.07210033874717622
antigenic-drift,pos,Southern Asia,-0.31876451515953613,0.14377336682531305,-0.5567900786583903,-0.08682072638026006,-0.5986154132455633,-0.038267827322515796
antigenic-drift,pan2,Southern Asia,-0.42898206864949706,0.11994645816117128,-0.624902492499208,-0.2353600324367939,-0.665193597943368,-0.20014123034203926
antigenic-drift,pan1,Southern Asia,0.07591097280141049,0.14346610401587204,-0.16008923991686239,0.3116179645727834,-0.2094020066489369,0.35190352791890306
antigenic-drift,pre,Southern Asia,-0.1745524831116067,0.09053250385816179,-0.3243234087963987,-0.024805431067675195,-0.34826293675212566,0.005783536451126555
antigenic-drift,pos,Russia,0.0357158998187921,0.16037888692827557,-0.22681333145794755,0.29695170002995536,-0.2842206385556505,0.3427268576748879
