var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,2023,Africa,0.3047543446968819,0.17593939765793667,0.011088444181166376,0.5849602687127284,-0.030125648900264812,0.6536822503689392
air-traffic,2022,Africa,0.38359954605116964,0.11354742960045613,0.20043236123996044,0.5711828281697962,0.16188921800852596,0.6019012325603267
air-traffic,2021,Africa,0.9060317271424685,0.12111781904848444,0.7107064261835422,1.1064495003076535,0.680627848012111,1.1561103271877327
air-traffic,2020,Africa,0.6498686712326969,0.08445251886005763,0.5097852104686921,0.7848673096152345,0.48806139516117125,0.8134821202864283
air-traffic,2019,Africa,0.3847635882523812,0.11067810717232249,0.20494744513539664,0.5662305410017289,0.17177588667157162,0.6094144432780348
air-traffic,2018,Africa,0.40199364563588447,0.11161847849456888,0.21791343332291238,0.5847849249579908,0.18865730949800402,0.62935094985999
air-traffic,2017,Africa,0.4786016903884032,0.1138391427623454,0.282163617036535,0.6580481316015517,0.2567425577779442,0.7032633102130892
air-traffic,2023,Japan-Korea,0.47402928881433604,0.18121843219691147,0.17835198441895947,0.7720825551402232,0.13881323959105973,0.8385428211861099
air-traffic,2022,Japan-Korea,0.27813840836367004,0.11078198231040658,0.09439246386251514,0.45494426170204283,0.06405849663245985,0.495882114496005
air-traffic,2021,Japan-Korea,0.19370809565508676,0.09010217418940054,0.04901680943839803,0.34363836370102324,0.019059853487766964,0.3704993133716505
air-traffic,2020,Japan-Korea,0.2954588312267598,0.09151316593509855,0.15003183869186248,0.448108336565217,0.11835293393521057,0.4727163599924879
air-traffic,2019,Japan-Korea,0.36892504378975055,0.09885356121444289,0.1981033183120516,0.5226770478693654,0.178272021158457,0.56451380405627
air-traffic,2018,Japan-Korea,0.5635075522532579,0.10658351554044314,0.38490182942221673,0.737382518677565,0.3514906349328783,0.7652116621078462
air-traffic,2017,Japan-Korea,0.46597274619117274,0.10868129985640983,0.29283786453707217,0.6513879737354099,0.2626036266947463,0.695770873721791
air-traffic,2023,North America,0.4452422384989065,0.1805265603927716,0.14217188060009175,0.7399054888725606,0.08099802916373264,0.7926079700446498
