"year_month","region","climate","epoch","antigen_drift","inter_air_traffic","persistence"
"2017-01","Africa","most-tropical","pre",0.17289540202419,0.739606120947066,0.249595536757226
"2017-02","Africa","most-tropical","pre",0.183586389085467,0.670241946252527,0.229493841648382
"2017-03","Africa","most-tropical","pre",0.189293605826093,0.744566880714096,0.232342428581635
"2017-04","Africa","most-tropical","pre",0.194300824770632,0.766321175382802,0.254643857626909
"2017-05","Africa","most-tropical","pre",0.207657890528396,0.775433426347369,0.2820166753951
"2017-06","Africa","most-tropical","pre",0.205477743385184,0.758738676350954,0.311873749610263
"2017-07","Africa","most-tropical","pre",0.199506127550309,0.847658626033277,0.335277805530805
"2017-08","Africa","most-tropical","pre",0.204148536694523,0.851177813031487,0.371152845903286
"2017-09","Africa","most-tropical","pre",0.219635920839183,0.797508620447587,0.383994221612501
"2017-10","Africa","most-tropical","pre",0.228336146905581,0.788086681835234,0.404265615635412
"2017-11","Africa","most-tropical","pre",0.214966598226303,0.762496543033351,0.395298146665301
"2017-12","Africa","most-tropical","pre",0.200424197762511,0.807396605637527,0.416488926406205
"2018-01","Africa","most-tropical","pre",0.191064944797252,0.786239464711062,0.443631196174462
"2018-02","Africa","most-tropical","pre",0.17788921381666,0.70228734529001,0.471440699309627
"2018-03","Africa","most-tropical","pre",0.184566263475579,0.799006555156219,0.478996312449451
"2018-04","Africa","most-tropical","pre",0.206342710835792,0.793501670353761,0.47862674060659
"2018-05","Africa","most-tropical","pre",0.224094239714668,0.795059401242266,0.471424188608506
"2018-06","Africa","most-tropical","pre",0.259882852487183,0.800863266944086,0.484600067509317
"2018-07","Africa","most-tropical","pre",0.261811225010036,0.868297600738887,0.47288576005802
"2018-08","Africa","most-tropical","pre",0.250853582290317,0.884946998565094,0.46323712633153
"2018-09","Africa","most-tropical","pre",0.224469658034157,0.820751456168289,0.443006928227895
"2018-10","Africa","most-tropical","pre",0.214700815721046,0.828983026571523,0.428192258810603
"2018-11","Africa","most-tropical","pre",0.214231469118512,0.795519185382097,0.407189141234052
"2018-12","Africa","most-tropical","pre",0.197762236980851,0.836976927361176,0.355877618331365
"2019-01","Africa","most-tropical","pre",0.188454284560219,0.823944087339593,0.337774765865813
"2019-02","Africa","most-tropical","pre",0.190549768885507,0.744010028789032,0.315894033542657
"2019-03","Africa","most-tropical","pre",0.181855106124761,0.827668924713175,0.31879271030993
"2019-04","Africa","most-tropical","pre",0.188341510062832,0.81586190637898,0.324913335910609
"2019-05","Africa","most-tropical","pre",0.198676665090079,0.790794782136861,0.364110883160587
"2019-06","Africa","most-tropical","pre",0.212862046219663,0.842342725441194,0.410452447070728
"2019-07","Africa","most-tropical","pre",0.225829546919157,0.905779603805865,0.461047347801122
"2019-08","Africa","most-tropical","pre",0.22622730727037,0.924614491402178,0.529406524153271
"2019-09","Africa","most-tropical","pre",0.260919462883434,0.856395534760671,0.607119648416961
"2019-10","Africa","most-tropical","pre",0.270271703175034,0.829410185430782,0.677265121628184
"2019-11","Africa","most-tropical","pre",0.284272417932925,0.822838363047254,0.725492162508236
"2019-12","Africa","most-tropical","pre",0.278602420869541,0.87559778503637,0.757949580903452
"2020-01","Africa","most-tropical","pre",0.278636314119244,0.864193178831587,0.821515292195079
"2020-02","Africa","most-tropical","pre",0.291719634676257,0.77333561070586,0.908198199273444
"2020-03","Africa","most-tropical","pre",0.296567912893326,0.558420463707254,1.01264974551413
"2020-04","Africa","most-tropical","pan1",0.303232545378636,0.107294952131744,1.0940756794651
"2020-05","Africa","most-tropical","pan1",0.302224772763189,0.109419231623129,1.16956900293985
"2020-06","Africa","most-tropical","pan1",0.301217000147743,0.0942339311402546,1.25029781611971
"2020-07","Africa","most-tropical","pan1",0.300209227532296,0.158407959033152,1.33443382226694
"2020-08","Africa","most-tropical","pan1",0.304278320277959,0.216800645798743,1.41839324952135
"2020-09","Africa","most-tropical","pan1",0.320581910176165,0.222375629501253,1.49787817704215
"2020-10","Africa","most-tropical","pan1",0.328400184302518,0.256859136967392,1.54811303664648
"2020-11","Africa","most-tropical","pan1",0.331322689970352,0.242837134801397,1.57463628401597
"2020-12","Africa","most-tropical","pan1",0.32157508074586,0.325062538521568,1.56674946483114
"2021-01","Africa","most-tropical","pan1",0.317499845539346,0.32792235142821,1.52885966848451
"2021-02","Africa","most-tropical","pan1",0.306101776215741,0.293165013820796,1.45781066212582
"2021-03","Africa","most-tropical","pan1",0.307691869195259,0.305153844864064,1.48555075894824
"2021-04","Africa","most-tropical","pan2",0.304923495492225,0.300623375175172,1.56724750583556
"2021-05","Africa","most-tropical","pan2",0.331986855571913,0.323285622311571,1.65942458737519
"2021-06","Africa","most-tropical","pan2",0.342465232077007,0.378992834357107,1.64894745317153
"2021-07","Africa","most-tropical","pan2",0.365200962476615,0.464203804774361,1.60406566679173
"2021-08","Africa","most-tropical","pan2",0.368600780508476,0.490899364847402,1.42042984240388
"2021-09","Africa","most-tropical","pan2",0.378162170421186,0.473303530863414,0.995533365672908
"2021-10","Africa","most-tropical","pan2",0.374264671797678,0.529815264146594,0.575040294950332
"2021-11","Africa","most-tropical","pan2",0.343793488101855,0.537452610012345,0.296156383299641
"2021-12","Africa","most-tropical","pan2",0.297897816873848,0.552400341888699,0.302498419502475
"2022-01","Africa","most-tropical","pan2",0.251687225472442,0.50072078638441,0.337819480406339
"2022-02","Africa","most-tropical","pan2",0.228543438052958,0.515860128654713,0.40482886120754
"2022-03","Africa","most-tropical","pan2",0.207800228024383,0.655407948326404,0.46333127452167
