period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 4,Southern Asia,North China,9,210417,23379.7
Period 4,Southern Asia,Oceania,9,1059182,117686.9
Period 4,Southern Asia,Russia,9,425916,47324
Period 4,Southern Asia,South America,9,71989,7998.8
Period 4,Southern Asia,South China,9,842548,93616.4
Period 4,Southern Asia,South-eastern Asia,9,5510672,612296.9
Period 4,Southern Asia,Southern Asia,,NA,NA
Period 4,Southern Asia,Western Asia,9,19383378,2153708.7
Period 4,Western Asia,Africa,9,11662016,1295779.6
Period 4,Western Asia,Europe,9,34235066,3803896.2
Period 4,Western Asia,Japan/Korea,9,468884,52098.2
Period 4,Western Asia,North America,9,3732673,414741.4
Period 4,Western Asia,North China,9,365557,40617.4
Period 4,Western Asia,Oceania,9,524320,58257.8
Period 4,Western Asia,Russia,9,5534434,614937.1
Period 4,Western Asia,South America,9,389554,43283.8
Period 4,Western Asia,South China,9,851477,94608.6
Period 4,Western Asia,South-eastern Asia,9,4213850,468205.6
Period 4,Western Asia,Southern Asia,9,20151301,2239033.4
Period 4,Western Asia,Western Asia,,NA,NA
