period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 1,Southern Asia,Russia,39,1424403,36523.2
Period 1,Southern Asia,South America,39,240868,6176.1
Period 1,Southern Asia,South China,39,5995364,153727.3
Period 1,Southern Asia,South-eastern Asia,39,24134793,618840.8
Period 1,Southern Asia,Southern Asia,,NA,NA
Period 1,Southern Asia,Western Asia,39,78795040,2020385.6
Period 1,Western Asia,Africa,39,41350487,1060268.9
Period 1,Western Asia,Europe,39,111378982,2855871.3
Period 1,Western Asia,Japan/Korea,39,2221242,56954.9
Period 1,Western Asia,North America,39,13094172,335748
Period 1,Western Asia,North China,39,1924412,49343.9
Period 1,Western Asia,Oceania,39,2099180,53825.1
Period 1,Western Asia,Russia,39,16576847,425047.4
Period 1,Western Asia,South America,39,1238720,31762.1
Period 1,Western Asia,South China,39,4249048,108949.9
Period 1,Western Asia,South-eastern Asia,39,18342663,470324.7
Period 1,Western Asia,Southern Asia,39,79366797,2035046.1
Period 1,Western Asia,Western Asia,,NA,NA
Period 2,Africa,Africa,,NA,NA
Period 2,Africa,Europe,12,4827624,402302
Period 2,Africa,Japan/Korea,12,40279,3356.6
Period 2,Africa,North America,12,541841,45153.4
Period 2,Africa,North China,12,12584,1048.7
Period 2,Africa,Oceania,12,13873,1156.1
Period 2,Africa,Russia,12,76075,6339.6
Period 2,Africa,South America,12,49543,4128.6
Period 2,Africa,South China,12,87457,7288.1
Period 2,Africa,South-eastern Asia,12,124448,10370.7
Period 2,Africa,Southern Asia,12,226755,18896.2
Period 2,Africa,Western Asia,12,3262268,271855.7
Period 2,Europe,Africa,12,4771199,397599.9
Period 2,Europe,Europe,,NA,NA
Period 2,Europe,Japan/Korea,12,463896,38658
Period 2,Europe,North America,12,3047094,253924.5
Period 2,Europe,North China,12,96186,8015.5
Period 2,Europe,Oceania,12,144777,12064.8
Period 2,Europe,Russia,12,2203869,183655.8
Period 2,Europe,South America,12,963801,80316.8
Period 2,Europe,South China,12,441464,36788.7
Period 2,Europe,South-eastern Asia,12,682822,56901.8
Period 2,Europe,Southern Asia,12,1495557,124629.8
Period 2,Europe,Western Asia,12,7334780,611231.7
Period 2,Japan/Korea,Africa,12,37062,3088.5
Period 2,Japan/Korea,Europe,12,491577,40964.8
Period 2,Japan/Korea,Japan/Korea,,NA,NA
Period 2,Japan/Korea,North America,12,840930,70077.5
Period 2,Japan/Korea,North China,12,428037,35669.8
Period 2,Japan/Korea,Oceania,12,68262,5688.5
Period 2,Japan/Korea,Russia,12,53753,4479.4
Period 2,Japan/Korea,South America,12,34132,2844.3
Period 2,Japan/Korea,South China,12,1263674,105306.2
Period 2,Japan/Korea,South-eastern Asia,12,1660665,138388.8
Period 2,Japan/Korea,Southern Asia,12,90930,7577.5
Period 2,Japan/Korea,Western Asia,12,147120,12260
Period 2,North America,Africa,12,559563,46630.2
Period 2,North America,Europe,12,2971708,247642.3
Period 2,North America,Japan/Korea,12,899026,74918.8
Period 2,North America,North America,,NA,NA
Period 2,North America,North China,12,60906,5075.5
Period 2,North America,Oceania,12,123732,10311
Period 2,North America,Russia,12,66802,5566.8
Period 2,North America,South America,12,1431924,119327
Period 2,North America,South China,12,467738,38978.2
Period 2,North America,South-eastern Asia,12,326889,27240.8
Period 2,North America,Southern Asia,12,760566,63380.5
Period 2,North America,Western Asia,12,742627,61885.6
Period 2,North China,Africa,12,20769,1730.8
Period 2,North China,Europe,12,123178,10264.8
Period 2,North China,Japan/Korea,12,461358,38446.5
Period 2,North China,North America,12,73961,6163.4
Period 2,North China,North China,,NA,NA
Period 2,North China,Oceania,12,30780,2565
Period 2,North China,Russia,12,10204,850.3
Period 2,North China,South America,12,1413,117.8
Period 2,North China,South China,12,84894375,7074531.2
Period 2,North China,South-eastern Asia,12,237493,19791.1
Period 2,North China,Southern Asia,12,45095,3757.9
Period 2,North China,Western Asia,12,40687,3390.6
Period 2,Oceania,Africa,12,13409,1117.4
Period 2,Oceania,Europe,12,198040,16503.3
Period 2,Oceania,Japan/Korea,12,81759,6813.2
Period 2,Oceania,North America,12,122170,10180.8
Period 2,Oceania,North China,12,23337,1944.8
Period 2,Oceania,Oceania,,NA,NA
Period 2,Oceania,Russia,12,1113,92.8
Period 2,Oceania,South America,12,7318,609.8
Period 2,Oceania,South China,12,187039,15586.6
Period 2,Oceania,South-eastern Asia,12,215100,17925
Period 2,Oceania,Southern Asia,12,66677,5556.4
Period 2,Oceania,Western Asia,12,91115,7592.9
Period 2,Russia,Africa,12,88189,7349.1
Period 2,Russia,Europe,12,2235101,186258.4
Period 2,Russia,Japan/Korea,12,67442,5620.2
Period 2,Russia,North America,12,67553,5629.4
Period 2,Russia,North China,12,9477,789.8
Period 2,Russia,Oceania,12,1218,101.5
Period 2,Russia,Russia,,NA,NA
Period 2,Russia,South America,12,6388,532.3
Period 2,Russia,South China,12,20464,1705.3
Period 2,Russia,South-eastern Asia,12,41498,3458.2
Period 2,Russia,Southern Asia,12,108718,9059.8
Period 2,Russia,Western Asia,12,1098071,91505.9
Period 2,South America,Africa,12,42648,3554
Period 2,South America,Europe,12,950794,79232.8
Period 2,South America,Japan/Korea,12,31738,2644.8
Period 2,South America,North America,12,1486175,123847.9
Period 2,South America,North China,12,1022,85.2
Period 2,South America,Oceania,12,4746,395.5
Period 2,South America,Russia,12,3473,289.4
Period 2,South America,South America,,NA,NA
Period 2,South America,South China,12,10749,895.8
Period 2,South America,South-eastern Asia,12,22319,1859.9
Period 2,South America,Southern Asia,12,13990,1165.8
Period 2,South America,Western Asia,12,64123,5343.6
Period 2,South China,Africa,12,87906,7325.5
Period 2,South China,Europe,12,457216,38101.3
Period 2,South China,Japan/Korea,12,1253330,104444.2
Period 2,South China,North America,12,477797,39816.4
Period 2,South China,North China,12,84311912,7025992.7
Period 2,South China,Oceania,12,160532,13377.7
Period 2,South China,Russia,12,20009,1667.4
Period 2,South China,South America,12,11226,935.5
Period 2,South China,South China,,NA,NA
Period 2,South China,South-eastern Asia,12,1406236,117186.3
Period 2,South China,Southern Asia,12,206385,17198.8
Period 2,South China,Western Asia,12,149183,12431.9
Period 2,South-eastern Asia,Africa,12,120936,10078
Period 2,South-eastern Asia,Europe,12,764326,63693.8
Period 2,South-eastern Asia,Japan/Korea,12,2025037,168753.1
Period 2,South-eastern Asia,North America,12,457903,38158.6
Period 2,South-eastern Asia,North China,12,223270,18605.8
Period 2,South-eastern Asia,Oceania,12,252412,21034.3
Period 2,South-eastern Asia,Russia,12,50815,4234.6
Period 2,South-eastern Asia,South America,12,24138,2011.5
Period 2,South-eastern Asia,South China,12,1487382,123948.5
Period 2,South-eastern Asia,South-eastern Asia,,NA,NA
Period 2,South-eastern Asia,Southern Asia,12,481602,40133.5
Period 2,South-eastern Asia,Western Asia,12,980291,81690.9
Period 2,Southern Asia,Africa,12,260038,21669.8
Period 2,Southern Asia,Europe,12,1687664,140638.7
